time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,4320,431,1,380,520,37,3.8,3.8
20,4,2,2,19,19,64300,6380,1,6340,7080,629,1.6,1.6
30,4,2,2,19,19,77380,7726,1,7800,14980,778,1.4,1.4
40,4,2,2,19,19,104340,10418,1,10860,25700,1084,1.3,1.3
50,4,2,2,19,19,79340,7922,1,7800,33800,778,1.2,1.2
60,4,2,2,19,19,80060,7991,1,8020,41940,800,1.2,1.2
70,4,2,2,19,19,79080,7895,1,7320,50120,730,1.2,1.2
80,4,2,2,19,19,105880,10573,1,10240,60980,1022,1.2,1.2
90,4,2,2,19,19,78900,7872,1,7920,69160,790,1.2,1.2
100,4,2,2,19,19,80740,8061,1,8000,77340,798,1.2,1.2
110,4,2,2,19,19,106180,10603,1,10680,88240,1066,1.1,1.1
120,4,2,2,19,19,80460,8033,1,8640,96420,862,1.1,1.1
130,4,2,2,19,19,78480,7837,1,8020,104620,800,1.1,1.1
140,4,2,2,19,19,106960,10682,1,10600,115500,1058,1.1,1.1
150,4,2,2,19,19,78840,7874,1,7800,123660,779,1.1,1.1
160,4,2,2,19,19,80960,8084,1,8440,131860,842,1.1,1.1
170,4,2,2,19,19,107360,10722,1,11300,142820,1128,1.1,1.1
180,4,2,2,19,19,80400,8029,1,8440,151060,842,1.1,1.1
