time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,0,0,0,0,0.0,0.0
20,4,2,2,19,19,68020,6750,1,6860,7040,680,1.5,1.5
30,4,2,2,19,19,77320,7712,1,7520,14880,750,1.3,1.3
40,4,2,2,19,19,76740,7661,1,7760,22880,774,1.3,1.3
50,4,2,2,19,19,105080,10492,1,10560,33560,1054,1.2,1.2
60,4,2,2,19,19,78400,7825,1,7820,41700,780,1.2,1.2
70,4,2,2,19,19,79000,7885,1,7920,49840,790,1.2,1.2
80,4,2,2,19,19,106600,10645,1,10600,60720,1058,1.2,1.2
90,4,2,2,19,19,78940,7873,1,8260,68840,823,1.2,1.2
100,4,2,2,19,19,81660,8153,1,8880,76980,886,1.1,1.1
110,4,2,2,19,19,105160,10500,1,10780,87860,1076,1.1,1.1
120,4,2,2,19,19,80720,8060,1,8040,96000,802,1.1,1.1
130,4,2,2,19,19,78980,7881,1,8160,104200,814,1.1,1.1
140,4,2,2,19,19,106980,10681,1,10840,115140,1082,1.1,1.1
150,4,2,2,19,19,79460,7935,1,7700,123300,769,1.1,1.1
160,4,2,2,19,19,80460,8035,1,7980,131500,796,1.1,1.1
170,4,2,2,19,19,107760,10760,1,10800,142440,1078,1.1,1.1
180,4,2,2,19,19,79080,7896,1,8340,150620,832,1.1,1.1
