time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,5960,595,1,920,640,91,3.3,3.3
20,4,2,2,19,19,69240,6856,1,7040,7740,697,1.4,1.4
30,4,2,2,19,19,78500,7837,1,8220,15620,820,1.3,1.3
40,4,2,2,19,19,79320,7920,1,8700,23700,868,1.2,1.2
50,4,2,2,19,19,104180,10401,1,10660,34420,1064,1.2,1.2
60,4,2,2,19,19,79560,7943,1,7980,42580,796,1.2,1.2
70,4,2,2,19,19,79680,7956,1,7900,50680,788,1.2,1.2
80,4,2,2,19,19,107260,10709,1,10860,61580,1084,1.1,1.1
90,4,2,2,19,19,79580,7934,1,8160,69720,813,1.1,1.1
100,4,2,2,19,19,79080,7896,1,8260,77880,824,1.1,1.1
110,4,2,2,19,19,105240,10508,1,10760,88780,1074,1.1,1.1
120,4,2,2,19,19,79880,7976,1,7720,96940,770,1.1,1.1
130,4,2,2,19,19,79660,7954,1,8380,105120,836,1.1,1.1
140,4,2,2,19,19,107640,10750,1,10980,116060,1096,1.1,1.1
150,4,2,2,19,19,79860,7974,1,8360,124260,834,1.1,1.1
160,4,2,2,19,19,80680,8055,1,8560,132500,854,1.1,1.1
170,4,2,2,19,19,107560,10740,1,11420,143460,1140,1.1,1.1
180,4,2,2,19,19,78740,7863,1,8120,151640,810,1.1,1.1
