time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,1,0,0,0,0.0,0.0
20,4,2,2,19,19,2100,208,1,240,260,23,3.4,3.4
30,4,2,2,19,19,59940,5978,1,6260,6360,624,1.5,1.5
40,4,2,2,19,19,103320,10315,1,10740,16860,1072,1.3,1.3
50,4,2,2,19,19,78040,7792,1,8440,24880,842,1.3,1.3
60,4,2,2,19,19,78940,7881,1,7740,32960,772,1.2,1.2
70,4,2,2,19,19,106380,10621,1,11180,43780,1116,1.2,1.2
80,4,2,2,19,19,79980,7986,1,7880,51920,786,1.2,1.2
90,4,2,2,19,19,79140,7893,1,8100,60040,807,1.2,1.2
100,4,2,2,19,19,104600,10445,1,10820,70900,1080,1.2,1.2
110,4,2,2,19,19,80900,8078,1,8480,79060,846,1.2,1.2
120,4,2,2,19,19,78780,7865,1,8080,87240,806,1.1,1.1
130,4,2,2,19,19,105740,10561,1,10700,98120,1068,1.1,1.1
140,4,2,2,19,19,78600,7841,1,7960,106260,794,1.1,1.1
150,4,2,2,19,19,80460,8034,1,8460,114420,844,1.1,1.1
160,4,2,2,19,19,80380,8026,1,8380,122640,836,1.1,1.1
170,4,2,2,19,19,106500,10636,1,10640,133580,1062,1.1,1.1
180,4,2,2,19,19,80900,8079,1,8560,141780,854,1.1,1.1
