time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,2960,295,1,300,340,29,3.8,3.8
20,4,2,2,19,19,60960,6051,1,6440,6580,639,1.6,1.6
30,4,2,2,19,19,77860,7770,1,7580,14500,756,1.3,1.3
40,4,2,2,19,19,102420,10225,1,10440,25160,1042,1.3,1.3
50,4,2,2,19,19,79520,7939,1,8300,33260,828,1.2,1.2
60,4,2,2,19,19,79360,7925,1,8280,41400,826,1.2,1.2
70,4,2,2,19,19,106800,10665,1,10800,52280,1078,1.2,1.2
80,4,2,2,19,19,79940,7982,1,8100,60460,808,1.2,1.2
90,4,2,2,19,19,79220,7902,1,8480,68640,845,1.2,1.2
100,4,2,2,19,19,106900,10675,1,10800,79480,1078,1.1,1.1
110,4,2,2,19,19,79200,7909,1,8440,87680,842,1.1,1.1
120,4,2,2,19,19,80160,8003,1,7540,95820,752,1.1,1.1
130,4,2,2,19,19,105220,10505,1,10640,106740,1062,1.1,1.1
140,4,2,2,19,19,79420,7930,1,7700,114860,768,1.1,1.1
150,4,2,2,19,19,79140,7903,1,8560,123020,854,1.1,1.1
160,4,2,2,19,19,80320,8021,1,7840,131260,782,1.1,1.1
170,4,2,2,19,19,107840,10768,1,11200,142200,1118,1.1,1.1
180,4,2,2,19,19,79280,7918,1,8420,150420,840,1.1,1.1
