time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,1,0,0,0,0.0,0.0
20,4,2,2,19,19,6780,674,1,800,740,79,2.8,2.8
30,4,2,2,19,19,70400,7018,1,7160,7960,713,1.4,1.4
40,4,2,2,19,19,104420,10424,1,10780,18560,1076,1.2,1.2
50,4,2,2,19,19,79720,7960,1,8360,26680,834,1.2,1.2
60,4,2,2,19,19,79820,7968,1,7560,34820,754,1.2,1.2
70,4,2,2,19,19,105300,10513,1,11160,45700,1114,1.1,1.1
80,4,2,2,19,19,80260,8014,1,8660,53900,864,1.1,1.1
90,4,2,2,19,19,80500,8029,1,8260,62020,823,1.1,1.1
100,4,2,2,19,19,105400,10524,1,11000,72860,1098,1.1,1.1
110,4,2,2,19,19,80060,7990,1,7920,81000,790,1.1,1.1
120,4,2,2,19,19,78500,7839,1,7920,89140,790,1.1,1.1
130,4,2,2,19,19,107320,10715,1,10500,100080,1048,1.1,1.1
140,4,2,2,19,19,79520,7940,1,8220,108260,820,1.1,1.1
150,4,2,2,19,19,79820,7971,1,8100,116420,808,1.1,1.1
160,4,2,2,19,19,106780,10659,1,11000,127380,1098,1.1,1.1
170,4,2,2,19,19,79720,7961,1,8000,135580,798,1.1,1.1
180,4,2,2,19,19,80240,8013,1,8500,143800,848,1.1,1.1
