time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,1,0,0,0,0.0,0.0
20,4,2,2,19,19,5980,594,1,780,680,77,3.1,3.1
30,4,2,2,19,19,64980,6479,1,6680,7280,666,1.5,1.5
40,4,2,2,19,19,102960,10276,1,10500,17760,1048,1.3,1.3
50,4,2,2,19,19,77980,7782,1,7820,25820,780,1.2,1.2
60,4,2,2,19,19,78580,7841,1,7780,33920,776,1.2,1.2
70,4,2,2,19,19,106660,10650,1,11040,44800,1102,1.2,1.2
80,4,2,2,19,19,79100,7898,1,8280,52940,826,1.2,1.2
90,4,2,2,19,19,79380,7914,1,7640,61080,761,1.2,1.2
100,4,2,2,19,19,105220,10505,1,11340,71900,1132,1.1,1.1
110,4,2,2,19,19,81320,8120,1,8440,80100,842,1.1,1.1
120,4,2,2,19,19,79740,7962,1,8340,88240,832,1.1,1.1
130,4,2,2,19,19,106660,10653,1,10720,99160,1070,1.1,1.1
140,4,2,2,19,19,79500,7938,1,8280,107340,826,1.1,1.1
150,4,2,2,19,19,80360,8025,1,8260,115520,824,1.1,1.1
160,4,2,2,19,19,107240,10710,1,10840,126500,1082,1.1,1.1
170,4,2,2,19,19,79280,7918,1,7880,134720,787,1.1,1.1
180,4,2,2,19,19,80520,8039,1,8200,142940,818,1.1,1.1
