time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,5600,559,1,580,660,57,2.7,2.7
20,4,2,2,19,19,64720,6364,1,6480,7220,637,1.5,1.5
30,4,2,2,19,19,77840,7771,1,7720,15160,770,1.3,1.3
40,4,2,2,19,19,103660,10349,1,10420,25880,1040,1.2,1.2
50,4,2,2,19,19,78140,7801,1,8140,33900,812,1.2,1.2
60,4,2,2,19,19,79220,7908,1,7980,42060,796,1.2,1.2
70,4,2,2,19,19,79920,7978,1,8320,50200,830,1.2,1.2
80,4,2,2,19,19,106620,10634,1,10820,61080,1079,1.2,1.2
90,4,2,2,19,19,79260,7906,1,8500,69240,847,1.2,1.2
100,4,2,2,19,19,80740,8060,1,8420,77380,840,1.2,1.2
110,4,2,2,19,19,105280,10513,1,10420,88260,1040,1.1,1.1
120,4,2,2,19,19,80920,8079,1,8080,96420,806,1.1,1.1
130,4,2,2,19,19,78740,7862,1,7620,104600,760,1.1,1.1
140,4,2,2,19,19,107420,10721,1,11560,115520,1153,1.1,1.1
150,4,2,2,19,19,79360,7925,1,7900,123700,788,1.1,1.1
160,4,2,2,19,19,79780,7965,1,8140,131900,812,1.1,1.1
170,4,2,2,19,19,107180,10704,1,10900,142840,1088,1.1,1.1
180,4,2,2,19,19,78880,7871,1,8060,151060,804,1.1,1.1
