time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,4100,409,1,600,480,59,3.2,3.2
20,4,2,2,19,19,60900,6035,1,6280,6720,622,1.5,1.5
30,4,2,2,19,19,77920,7776,1,8080,14580,806,1.3,1.3
40,4,2,2,19,19,102720,10254,1,10460,25280,1044,1.2,1.2
50,4,2,2,19,19,78580,7844,1,7880,33360,786,1.2,1.2
60,4,2,2,19,19,77980,7786,1,8160,41440,814,1.2,1.2
70,4,2,2,19,19,106600,10644,1,10860,52340,1084,1.2,1.2
80,4,2,2,19,19,80100,7998,1,8000,60480,798,1.2,1.2
90,4,2,2,19,19,79180,7896,1,8360,68620,833,1.1,1.1
100,4,2,2,19,19,80400,8027,1,8340,76740,832,1.1,1.1
110,4,2,2,19,19,104460,10426,1,10700,87640,1067,1.1,1.1
120,4,2,2,19,19,81140,8102,1,8000,95780,798,1.1,1.1
130,4,2,2,19,19,78220,7811,1,7720,103980,770,1.1,1.1
140,4,2,2,19,19,105800,10565,1,10200,114880,1018,1.1,1.1
150,4,2,2,19,19,80320,8021,1,8380,123080,836,1.1,1.1
160,4,2,2,19,19,80200,8009,1,8320,131280,830,1.1,1.1
170,4,2,2,19,19,108000,10784,1,10840,142200,1082,1.1,1.1
180,4,2,2,19,19,78260,7816,1,8320,150360,831,1.1,1.1
