time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,0,0,0,0,0.0,0.0
20,4,2,2,19,19,71440,7081,1,7720,7320,765,1.5,1.5
30,4,2,2,19,19,77940,7776,1,7660,15260,764,1.3,1.3
40,4,2,2,19,19,78180,7803,1,8000,23280,798,1.2,1.2
50,4,2,2,19,19,104640,10446,1,10200,34000,1018,1.2,1.2
60,4,2,2,19,19,79140,7900,1,8040,42140,802,1.2,1.2
70,4,2,2,19,19,80360,8021,1,8460,50300,844,1.1,1.1
80,4,2,2,19,19,106380,10612,1,10820,61160,1079,1.1,1.1
90,4,2,2,19,19,78840,7856,1,7860,69300,783,1.1,1.1
100,4,2,2,19,19,80620,8043,1,8080,77460,806,1.1,1.1
110,4,2,2,19,19,105620,10531,1,10660,88300,1062,1.1,1.1
120,4,2,2,19,19,80760,8062,1,8260,96480,824,1.1,1.1
130,4,2,2,19,19,79620,7949,1,8100,104640,808,1.1,1.1
140,4,2,2,19,19,106560,10625,1,10820,115520,1078,1.1,1.1
150,4,2,2,19,19,79380,7926,1,7700,123700,768,1.1,1.1
160,4,2,2,19,19,79780,7966,1,7540,131940,752,1.1,1.1
170,4,2,2,19,19,107180,10701,1,10620,142860,1060,1.1,1.1
180,4,2,2,19,19,79620,7950,1,8100,151060,808,1.1,1.1
