time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,0,0,0,0,0,0,0.0,0.0
20,4,2,2,19,19,68700,6791,1,6560,7120,648,1.6,1.6
30,4,2,2,19,19,76840,7666,1,7480,15040,746,1.3,1.3
40,4,2,2,19,19,77940,7780,1,8220,23040,820,1.3,1.3
50,4,2,2,19,19,105220,10504,1,10700,33800,1068,1.2,1.2
60,4,2,2,19,19,79180,7906,1,8040,41900,802,1.2,1.2
70,4,2,2,19,19,80760,8064,1,8480,50080,846,1.2,1.2
80,4,2,2,19,19,106740,10660,1,11060,60920,1104,1.2,1.2
90,4,2,2,19,19,78700,7852,1,8280,69080,826,1.1,1.1
100,4,2,2,19,19,80260,8011,1,7820,77220,780,1.1,1.1
110,4,2,2,19,19,104300,10415,1,11000,88080,1098,1.1,1.1
120,4,2,2,19,19,80240,8012,1,8260,96260,824,1.1,1.1
130,4,2,2,19,19,79400,7926,1,8460,104440,844,1.1,1.1
140,4,2,2,19,19,107380,10722,1,11000,115400,1098,1.1,1.1
150,4,2,2,19,19,79580,7943,1,8360,123540,834,1.1,1.1
160,4,2,2,19,19,80380,8026,1,8260,131760,824,1.1,1.1
170,4,2,2,19,19,106240,10609,1,10680,142720,1066,1.1,1.1
180,4,2,2,19,19,79060,7894,1,8020,150880,800,1.1,1.1
