time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,19,19,4460,445,1,500,520,49,3.0,3.0
20,4,2,2,19,19,61740,6123,1,6840,6820,678,1.6,1.6
30,4,2,2,19,19,78120,7797,1,8180,14740,816,1.3,1.3
40,4,2,2,19,19,103600,10341,1,10940,25440,1092,1.3,1.3
50,4,2,2,19,19,79220,7909,1,8220,33520,820,1.2,1.2
60,4,2,2,19,19,79880,7975,1,8280,41680,826,1.2,1.2
70,4,2,2,19,19,106800,10665,1,11220,52540,1120,1.2,1.2
80,4,2,2,19,19,79980,7986,1,8220,60720,820,1.2,1.2
90,4,2,2,19,19,78900,7862,1,7700,68880,767,1.2,1.2
100,4,2,2,19,19,80500,8037,1,8380,77020,836,1.1,1.1
110,4,2,2,19,19,104640,10449,1,11120,87860,1110,1.1,1.1
120,4,2,2,19,19,81520,8142,1,8420,96040,840,1.1,1.1
130,4,2,2,19,19,78700,7858,1,8100,104200,808,1.1,1.1
140,4,2,2,19,19,106620,10648,1,10880,115120,1086,1.1,1.1
150,4,2,2,19,19,80160,8003,1,8240,123340,822,1.1,1.1
160,4,2,2,19,19,80200,8007,1,7900,131520,788,1.1,1.1
170,4,2,2,19,19,107020,10688,1,10800,142480,1078,1.1,1.1
180,4,2,2,19,19,79980,7987,1,8360,150700,834,1.1,1.1
