time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,3440,339,1,3440,3300,339,1.6,1.6
30,4,2,2,11,11,5580,553,1,5580,9260,553,1.3,1.3
40,4,2,2,11,11,10820,1080,1,10820,20140,1080,1.1,1.1
50,4,2,2,11,11,8060,804,1,8060,28180,804,1.1,1.1
60,4,2,2,11,11,7980,797,1,7980,36340,797,1.1,1.1
70,4,2,2,11,11,10880,1086,1,10880,47140,1086,1.1,1.1
80,4,2,2,11,11,8460,845,1,8460,55380,845,1.1,1.1
90,4,2,2,11,11,8020,799,1,8020,63560,799,1.1,1.1
100,4,2,2,11,11,10400,1039,1,10400,74460,1039,1.1,1.1
110,4,2,2,11,11,8300,829,1,8300,82640,829,1.1,1.1
120,4,2,2,11,11,8120,810,1,8120,90820,810,1.1,1.1
130,4,2,2,11,11,10980,1097,1,10980,101780,1097,1.1,1.1
140,4,2,2,11,11,7940,792,1,7940,109960,792,1.1,1.1
150,4,2,2,11,11,8740,872,1,8740,118160,872,1.1,1.1
160,4,2,2,11,11,11020,1100,1,11020,129020,1100,1.1,1.1
170,4,2,2,11,11,7960,795,1,7960,137180,795,1.1,1.1
180,4,2,2,11,11,8120,811,1,8120,145320,811,1.1,1.1
