time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,1540,151,1,1540,1600,151,2.2,2.2
30,4,2,2,11,11,7420,738,1,7420,9020,738,1.3,1.3
40,4,2,2,11,11,4600,459,1,4600,13360,459,5.3,5.3
50,4,2,2,11,11,9840,982,1,9840,23340,982,3.5,3.5
60,4,2,2,11,11,8040,803,1,8040,31500,803,2.9,2.9
70,4,2,2,11,11,8280,827,1,8280,39740,827,2.5,2.5
80,4,2,2,11,11,11040,1102,1,11040,50580,1102,2.2,2.2
90,4,2,2,11,11,8040,801,1,8040,58800,801,2.1,2.1
100,4,2,2,11,11,8600,859,1,8600,66980,859,1.9,1.9
110,4,2,2,11,11,10880,1086,1,10880,77920,1086,1.8,1.8
120,4,2,2,11,11,8400,839,1,8400,86160,839,1.7,1.7
130,4,2,2,11,11,8560,854,1,8560,94360,854,1.7,1.7
140,4,2,2,11,11,10620,1061,1,10620,105340,1061,1.6,1.6
150,4,2,2,11,11,7940,793,1,7940,113600,793,1.6,1.6
160,4,2,2,11,11,8200,819,1,8200,121720,819,1.6,1.6
170,4,2,2,11,11,8040,803,1,8040,129960,803,1.5,1.5
180,4,2,2,11,11,11680,1167,1,11680,140980,1167,1.5,1.5
