time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,5000,495,1,5000,5260,495,1.4,1.4
40,4,2,2,11,11,5480,547,1,5480,10860,547,1.3,1.3
50,4,2,2,11,11,9100,908,1,9100,19840,908,1.1,1.1
60,4,2,2,11,11,10980,1096,1,10980,30660,1096,1.1,1.1
70,4,2,2,11,11,7940,793,1,7940,38820,793,1.1,1.1
80,4,2,2,11,11,7100,708,1,7100,46000,708,1.1,1.1
90,4,2,2,11,11,10360,1033,1,10360,56900,1033,1.1,1.1
100,4,2,2,11,11,8920,891,1,8920,65100,891,1.1,1.1
110,4,2,2,11,11,8380,837,1,8380,73260,837,1.1,1.1
120,4,2,2,11,11,10700,1068,1,10700,84100,1068,1.1,1.1
130,4,2,2,11,11,7960,795,1,7960,92320,795,1.1,1.1
140,4,2,2,11,11,8160,814,1,8160,100440,814,1.1,1.1
150,4,2,2,11,11,10680,1065,1,10680,111340,1065,1.1,1.1
160,4,2,2,11,11,8300,829,1,8300,119520,829,1.1,1.1
170,4,2,2,11,11,8160,815,1,8160,127700,815,1.1,1.1
180,4,2,2,11,11,10740,1073,1,10740,138660,1073,1.1,1.1
