time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,2520,250,1,2520,2540,250,1.8,1.8
30,4,2,2,11,11,6000,596,1,6000,8820,596,1.4,1.4
40,4,2,2,11,11,8620,860,1,8620,16860,860,1.2,1.2
50,4,2,2,11,11,7880,786,1,7880,24700,786,1.2,1.2
60,4,2,2,11,11,10760,1074,1,10760,35560,1074,1.2,1.2
70,4,2,2,11,11,7380,737,1,7380,42720,737,1.2,1.2
80,4,2,2,11,11,8420,841,1,8420,50840,841,1.1,1.1
90,4,2,2,11,11,10700,1066,1,10700,61700,1066,1.1,1.1
100,4,2,2,11,11,8580,856,1,8580,69840,856,1.1,1.1
110,4,2,2,11,11,7600,759,1,7600,78000,759,1.1,1.1
120,4,2,2,11,11,9940,993,1,9940,88980,993,1.1,1.1
130,4,2,2,11,11,8360,835,1,8360,97180,835,1.1,1.1
140,4,2,2,11,11,8180,817,1,8180,105380,817,1.1,1.1
150,4,2,2,11,11,9980,994,1,9980,116220,994,1.1,1.1
160,4,2,2,11,11,8780,876,1,8780,124420,876,1.1,1.1
170,4,2,2,11,11,7960,795,1,7960,132640,795,1.1,1.1
180,4,2,2,11,11,11140,1112,1,11140,143580,1112,1.1,1.1
