time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,6060,602,1,6060,6260,602,1.3,1.3
40,4,2,2,11,11,7040,702,1,7040,13580,702,1.2,1.2
50,4,2,2,11,11,10320,1030,1,10320,23920,1030,1.2,1.2
60,4,2,2,11,11,8560,854,1,8560,32060,854,1.1,1.1
70,4,2,2,11,11,7920,791,1,7920,40060,791,1.1,1.1
80,4,2,2,11,11,10680,1066,1,10680,50720,1066,1.1,1.1
90,4,2,2,11,11,8180,815,1,8180,58880,815,1.1,1.1
100,4,2,2,11,11,8400,839,1,8400,67040,839,1.1,1.1
110,4,2,2,11,11,8180,817,1,8180,75220,817,1.1,1.1
120,4,2,2,11,11,11140,1112,1,11140,86120,1112,1.1,1.1
130,4,2,2,11,11,8060,804,1,8060,94340,804,1.1,1.1
140,4,2,2,11,11,8580,857,1,8580,102480,857,1.1,1.1
150,4,2,2,11,11,10800,1078,1,10800,113400,1078,1.1,1.1
160,4,2,2,11,11,8480,847,1,8480,121580,847,1.1,1.1
170,4,2,2,11,11,8680,866,1,8680,129780,866,1.1,1.1
180,4,2,2,11,11,10860,1085,1,10860,140720,1085,1.1,1.1
