time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,8320,830,1,8320,8440,830,1.2,1.2
40,4,2,2,11,11,7760,775,1,7760,16380,775,1.2,1.2
50,4,2,2,11,11,7580,757,1,7580,24380,757,1.1,1.1
60,4,2,2,11,11,10800,1079,1,10800,35160,1079,1.1,1.1
70,4,2,2,11,11,7920,791,1,7920,43380,791,1.1,1.1
80,4,2,2,11,11,8060,805,1,8060,51320,805,1.1,1.1
90,4,2,2,11,11,7960,793,1,7960,59500,793,1.1,1.1
100,4,2,2,11,11,10360,1035,1,10360,70300,1035,1.1,1.1
110,4,2,2,11,11,7660,765,1,7660,78460,765,1.1,1.1
120,4,2,2,11,11,7860,785,1,7860,86680,785,1.1,1.1
130,4,2,2,11,11,10780,1075,1,10780,97560,1075,1.1,1.1
140,4,2,2,11,11,8440,842,1,8440,105740,842,1.1,1.1
150,4,2,2,11,11,8040,803,1,8040,113940,803,1.1,1.1
160,4,2,2,11,11,11040,1103,1,11040,124880,1103,1.1,1.1
170,4,2,2,11,11,7960,795,1,7960,133120,795,1.1,1.1
180,4,2,2,11,11,7740,773,1,7740,141360,773,1.1,1.1
