time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,5560,554,1,5560,5760,554,1.5,1.5
40,4,2,2,11,11,7560,754,1,7560,13260,754,1.3,1.3
50,4,2,2,11,11,7000,699,1,7000,20760,699,1.2,1.2
60,4,2,2,11,11,7380,737,1,7380,28680,737,1.2,1.2
70,4,2,2,11,11,10740,1073,1,10740,39480,1073,1.2,1.2
80,4,2,2,11,11,7840,782,1,7840,47660,782,1.1,1.1
90,4,2,2,11,11,8000,798,1,8000,55640,798,1.1,1.1
100,4,2,2,11,11,10940,1092,1,10940,66520,1092,1.1,1.1
110,4,2,2,11,11,8360,835,1,8360,74700,835,1.1,1.1
120,4,2,2,11,11,7700,769,1,7700,82880,769,1.1,1.1
130,4,2,2,11,11,10580,1057,1,10580,93780,1057,1.1,1.1
140,4,2,2,11,11,8320,831,1,8320,101940,831,1.1,1.1
150,4,2,2,11,11,8120,811,1,8120,110120,811,1.1,1.1
160,4,2,2,11,11,10800,1078,1,10800,121020,1078,1.1,1.1
170,4,2,2,11,11,8520,850,1,8520,129180,850,1.1,1.1
180,4,2,2,11,11,8060,805,1,8060,137400,805,1.1,1.1
