time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,3320,330,1,3320,3640,330,1.5,1.5
30,4,2,2,11,11,5920,590,1,5920,9500,590,1.3,1.3
40,4,2,2,11,11,10540,1052,1,10540,20120,1052,1.2,1.2
50,4,2,2,11,11,8040,802,1,8040,28260,802,1.2,1.2
60,4,2,2,11,11,8580,856,1,8580,36420,856,1.1,1.1
70,4,2,2,11,11,11160,1114,1,11160,47320,1114,1.1,1.1
80,4,2,2,11,11,7980,797,1,7980,55560,797,1.1,1.1
90,4,2,2,11,11,8440,841,1,8440,63760,841,1.1,1.1
100,4,2,2,11,11,10880,1086,1,10880,74620,1086,1.1,1.1
110,4,2,2,11,11,7940,793,1,7940,82760,793,1.1,1.1
120,4,2,2,11,11,8460,844,1,8460,91060,844,1.1,1.1
130,4,2,2,11,11,11200,1118,1,11200,102000,1118,1.1,1.1
140,4,2,2,11,11,7540,753,1,7540,110240,753,1.1,1.1
150,4,2,2,11,11,8580,856,1,8580,118420,856,1.1,1.1
160,4,2,2,11,11,11040,1101,1,11040,129420,1101,1.1,1.1
170,4,2,2,11,11,8240,823,1,8240,137680,823,1.1,1.1
180,4,2,2,11,11,7960,794,1,7960,145940,794,1.1,1.1
