time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,5780,573,1,5780,5720,573,1.4,1.4
30,4,2,2,11,11,7240,716,1,7240,12920,716,1.3,1.3
40,4,2,2,11,11,7160,714,1,7160,20140,714,1.7,1.7
50,4,2,2,11,11,7900,788,1,7900,28000,788,1.5,1.5
60,4,2,2,11,11,10800,1077,1,10800,38660,1077,1.4,1.4
70,4,2,2,11,11,7860,785,1,7860,46860,785,1.4,1.4
80,4,2,2,11,11,8360,834,1,8360,54780,834,1.3,1.3
90,4,2,2,11,11,10640,1060,1,10640,65700,1060,1.3,1.3
100,4,2,2,11,11,8500,849,1,8500,73960,849,1.3,1.3
110,4,2,2,11,11,8220,820,1,8220,82180,820,1.2,1.2
120,4,2,2,11,11,11260,1124,1,11260,93040,1124,1.2,1.2
130,4,2,2,11,11,7780,776,1,7780,101280,776,1.2,1.2
140,4,2,2,11,11,8160,814,1,8160,109480,814,1.2,1.2
150,4,2,2,11,11,10980,1096,1,10980,120420,1096,1.2,1.2
160,4,2,2,11,11,8220,821,1,8220,128640,821,1.2,1.2
170,4,2,2,11,11,7940,793,1,7940,136860,793,1.2,1.2
180,4,2,2,11,11,10740,1072,1,10740,147780,1072,1.2,1.2
