time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,5600,555,1,5600,5740,555,1.5,1.5
40,4,2,2,11,11,7220,721,1,7220,13380,721,1.2,1.2
50,4,2,2,11,11,7840,783,1,7840,21140,783,1.2,1.2
60,4,2,2,11,11,10800,1078,1,10800,32100,1078,1.2,1.2
70,4,2,2,11,11,8180,817,1,8180,40100,817,1.2,1.2
80,4,2,2,11,11,8400,838,1,8400,48340,838,1.1,1.1
90,4,2,2,11,11,11440,1141,1,11440,59060,1141,1.1,1.1
100,4,2,2,11,11,8400,839,1,8400,67240,839,1.1,1.1
110,4,2,2,11,11,8180,817,1,8180,75460,817,1.1,1.1
120,4,2,2,11,11,10860,1084,1,10860,86420,1084,1.1,1.1
130,4,2,2,11,11,7880,787,1,7880,94680,787,1.1,1.1
140,4,2,2,11,11,8320,831,1,8320,102880,831,1.1,1.1
150,4,2,2,11,11,10540,1052,1,10540,113700,1052,1.1,1.1
160,4,2,2,11,11,8240,823,1,8240,121840,823,1.1,1.1
170,4,2,2,11,11,8240,823,1,8240,130160,823,1.1,1.1
180,4,2,2,11,11,11940,1192,1,11940,141240,1192,1.1,1.1
