time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,3440,340,1,3440,3220,340,1.7,1.7
30,4,2,2,11,11,8580,851,1,8580,11220,851,1.3,1.3
40,4,2,2,11,11,8540,852,1,8540,19400,852,1.2,1.2
50,4,2,2,11,11,7960,794,1,7960,27380,794,1.2,1.2
60,4,2,2,11,11,7880,787,1,7880,35500,787,1.2,1.2
70,4,2,2,11,11,10500,1048,1,10500,46380,1048,1.1,1.1
80,4,2,2,11,11,7580,756,1,7580,54440,756,1.1,1.1
90,4,2,2,11,11,8320,829,1,8320,62600,829,1.1,1.1
100,4,2,2,11,11,10780,1076,1,10780,73460,1076,1.1,1.1
110,4,2,2,11,11,8240,823,1,8240,81620,823,1.1,1.1
120,4,2,2,11,11,7820,780,1,7820,89760,780,1.1,1.1
130,4,2,2,11,11,10840,1082,1,10840,100640,1082,1.1,1.1
140,4,2,2,11,11,8000,799,1,8000,108820,799,1.1,1.1
150,4,2,2,11,11,7840,783,1,7840,117040,783,1.1,1.1
160,4,2,2,11,11,10580,1057,1,10580,127960,1057,1.1,1.1
170,4,2,2,11,11,8280,827,1,8280,136200,827,1.1,1.1
180,4,2,2,11,11,8280,827,1,8280,144420,827,1.1,1.1
