time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,1600,158,1,1600,1680,158,1.7,1.7
30,4,2,2,11,11,6500,643,1,6500,8460,643,1.4,1.4
40,4,2,2,11,11,5380,537,1,5380,13820,537,1.3,1.3
50,4,2,2,11,11,11080,1106,1,11080,24440,1106,1.2,1.2
60,4,2,2,11,11,8240,823,1,8240,32540,823,1.2,1.2
70,4,2,2,11,11,7800,779,1,7800,40720,779,1.2,1.2
80,4,2,2,11,11,11200,1118,1,11200,51520,1118,1.2,1.2
90,4,2,2,11,11,8340,832,1,8340,59720,832,1.2,1.2
100,4,2,2,11,11,8220,821,1,8220,67900,821,1.2,1.2
110,4,2,2,11,11,10740,1073,1,10740,78860,1073,1.2,1.2
120,4,2,2,11,11,8520,850,1,8520,87100,850,1.2,1.2
130,4,2,2,11,11,8340,833,1,8340,95280,833,1.2,1.2
140,4,2,2,11,11,11260,1124,1,11260,106280,1124,1.1,1.1
150,4,2,2,11,11,7860,785,1,7860,114480,785,1.1,1.1
160,4,2,2,11,11,8460,845,1,8460,122720,845,1.1,1.1
170,4,2,2,11,11,11040,1103,1,11040,133680,1103,1.1,1.1
180,4,2,2,11,11,8280,826,1,8280,141900,826,1.1,1.1
