time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,0,0,1,0,0,0,0.0,0.0
30,4,2,2,11,11,5240,521,1,5240,5240,521,1.5,1.5
40,4,2,2,11,11,7540,753,1,7540,12980,753,1.6,1.6
50,4,2,2,11,11,7580,756,1,7580,20480,756,1.6,1.6
60,4,2,2,11,11,10880,1086,1,10880,31360,1086,1.4,1.4
70,4,2,2,11,11,8080,807,1,8080,39300,807,1.4,1.4
80,4,2,2,11,11,7940,793,1,7940,47480,793,1.3,1.3
90,4,2,2,11,11,10240,1021,1,10240,58080,1021,1.3,1.3
100,4,2,2,11,11,7960,795,1,7960,66200,795,1.3,1.3
110,4,2,2,11,11,8500,848,1,8500,74400,848,1.2,1.2
120,4,2,2,11,11,8540,853,1,8540,82580,853,1.2,1.2
130,4,2,2,11,11,11000,1098,1,11000,93460,1098,1.2,1.2
140,4,2,2,11,11,8400,838,1,8400,101700,838,1.2,1.2
150,4,2,2,11,11,8320,830,1,8320,109880,830,1.2,1.2
160,4,2,2,11,11,11360,1134,1,11360,120840,1134,1.2,1.2
170,4,2,2,11,11,8420,841,1,8420,129020,841,1.2,1.2
180,4,2,2,11,11,8580,857,1,8580,137240,857,1.2,1.2
