time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,11,11,0,0,0,0,0,0,0.0,0.0
20,4,2,2,11,11,260,25,1,260,260,25,3.2,3.2
30,4,2,2,11,11,6000,594,1,6000,6380,594,1.4,1.4
40,4,2,2,11,11,10600,1058,1,10600,17000,1058,1.2,1.2
50,4,2,2,11,11,7820,781,1,7820,24840,781,1.2,1.2
60,4,2,2,11,11,8080,807,1,8080,32960,807,1.2,1.2
70,4,2,2,11,11,10420,1040,1,10420,43580,1040,1.2,1.2
80,4,2,2,11,11,8600,859,1,8600,51480,859,1.2,1.2
90,4,2,2,11,11,8120,810,1,8120,59660,810,1.1,1.1
100,4,2,2,11,11,11300,1128,1,11300,70500,1128,1.1,1.1
110,4,2,2,11,11,8100,809,1,8100,78700,809,1.1,1.1
120,4,2,2,11,11,8020,801,1,8020,86880,801,1.1,1.1
130,4,2,2,11,11,11000,1098,1,11000,97820,1098,1.1,1.1
140,4,2,2,11,11,8520,850,1,8520,105980,850,1.1,1.1
150,4,2,2,11,11,8780,877,1,8780,114140,877,1.1,1.1
160,4,2,2,11,11,8040,803,1,8040,122360,803,1.1,1.1
170,4,2,2,11,11,10800,1078,1,10800,133300,1078,1.1,1.1
180,4,2,2,11,11,8100,809,1,8100,141460,809,1.1,1.1
