time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,30,30,0,0,0,0,0,0,0.0,0.0
20,4,2,2,30,30,16320,1613,10,2140,2100,211,21.7,35.1
30,4,2,2,30,30,65340,6250,10,6420,8860,614,15.9,18.7
40,4,2,2,30,30,146600,14368,10,14600,23220,1430,11.5,12.9
50,4,2,2,30,30,146220,14440,10,15680,38660,1548,9.4,11.4
60,4,2,2,30,30,164880,16373,10,17160,55700,1704,8.2,9.7
71,4,2,2,30,30,249140,24740,10,25180,81420,2500,6.9,8.1
81,4,2,2,30,30,245780,24272,10,24900,106000,2459,6.4,7.0
91,4,2,2,30,30,232440,22982,10,22480,129480,2222,5.9,6.4
101,4,2,2,30,30,287540,28525,10,29180,159180,2894,5.6,5.9
111,4,2,2,30,30,201180,19950,10,21360,179940,2118,5.5,6.0
121,4,2,2,30,30,224280,22358,10,23460,203080,2338,5.3,5.8
131,4,2,2,30,30,273220,27188,10,28360,231280,2822,5.1,5.5
141,4,2,2,30,30,261440,25823,10,26220,257980,2589,5.1,5.4
151,4,2,2,30,30,246180,24490,10,24740,282420,2461,4.9,5.2
161,4,2,2,30,30,267420,26404,10,27780,309660,2742,4.9,5.1
171,4,2,2,30,30,253880,25276,10,25760,336360,2564,4.8,5.0
182,4,2,2,30,30,217080,21393,10,22420,358440,2209,4.7,4.9
