time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,30,30,0,0,0,0,0,0,0.0,0.0
20,4,4,4,30,30,0,0,0,0,0,0,0.0,0.0
30,4,4,4,30,30,35560,3543,5,5580,260,556,2716.5,3324.8
40,4,4,4,30,30,50460,4753,10,6960,2280,655,5487.3,8296.3
50,4,4,4,30,30,59560,5874,10,4660,7160,459,12993.5,16399.4
61,4,4,4,30,30,66200,6265,10,5640,12440,533,16399.1,22840.6
71,4,4,4,30,30,67600,6672,10,7240,19720,714,18861.8,28152.8
82,4,4,4,30,30,87300,8365,10,8740,28560,837,17783.1,27000.2
92,4,4,4,30,30,68320,6641,10,7220,36100,701,16599.6,23785.0
103,4,4,4,30,30,44760,4206,10,5340,40880,501,16172.9,22067.6
113,4,4,4,30,30,54780,5402,10,5400,46540,532,16166.5,21185.8
123,4,4,4,30,30,94280,9195,10,9780,55280,953,16161.5,19440.3
133,4,4,4,30,30,87420,8673,10,8840,64260,877,15875.3,19458.5
143,4,4,4,30,30,87480,8647,10,9880,73560,976,15375.7,19033.5
153,4,4,4,30,30,92260,9167,10,9400,82960,934,14764.3,18605.8
163,4,4,4,30,30,122160,11996,10,12880,95620,1264,14294.1,18498.8
174,4,4,4,30,30,133600,13169,10,12880,108700,1269,13664.8,18392.6
184,4,4,4,30,30,118180,11551,10,11680,120980,1141,13072.5,17966.3
