time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
20,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
30,4,4,4,19,19,4400,438,1,460,520,45,10.3,10.3
40,4,4,4,19,19,22140,2142,1,2140,2680,207,5.1,5.1
50,4,4,4,19,19,19320,1922,1,2020,4680,201,4.7,4.7
60,4,4,4,19,19,25480,2535,1,2520,7320,250,5.2,5.2
70,4,4,4,19,19,32960,3271,1,3400,10700,337,4.4,4.4
80,4,4,4,19,19,28560,2836,1,3020,13580,299,4.1,4.1
90,4,4,4,19,19,52260,5198,1,5400,18900,537,3.5,3.5
100,4,4,4,19,19,49920,4975,1,4700,24140,468,3.1,3.1
110,4,4,4,19,19,48700,4854,1,4900,29020,488,2.9,2.9
120,4,4,4,19,19,65520,6535,1,6960,35740,694,2.7,2.7
130,4,4,4,19,19,56900,5678,1,5800,41600,578,2.5,2.5
141,4,4,4,19,19,55660,5535,1,5840,47200,580,2.4,2.4
151,4,4,4,19,19,67140,6699,1,7040,54160,702,2.3,2.3
161,4,4,4,19,19,60520,6031,1,6180,60240,615,2.2,2.2
171,4,4,4,19,19,59380,5919,1,5880,66420,586,2.1,2.1
181,4,4,4,19,19,77080,7686,1,7940,74400,791,2.0,2.0
