time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,0,0,0,0,0,0,0.0,0.0
20,4,2,2,21,21,26860,2647,1,3080,2640,303,101.9,101.9
30,4,2,2,21,21,100820,9894,1,11440,12860,1122,380.9,380.9
40,4,2,2,21,21,241320,23827,1,23860,37780,2355,423.2,423.2
50,4,2,2,21,21,141840,14088,1,14300,52240,1420,408.6,408.6
60,4,2,2,21,21,197500,19546,1,20620,72440,2040,343.0,343.0
70,4,2,2,21,21,363300,35881,1,37160,109440,3670,280.9,280.9
80,4,2,2,21,21,274740,27261,1,28140,137280,2792,260.8,260.8
90,4,2,2,21,21,372980,37024,1,38000,174920,3772,248.9,248.9
101,4,2,2,21,21,332300,33051,1,34300,209660,3411,239.7,239.7
111,4,2,2,21,21,431860,43026,1,43140,253740,4298,235.5,235.5
121,4,2,2,21,21,307360,30540,1,30540,285680,3034,240.3,240.3
131,4,2,2,21,21,332020,32977,1,33980,319580,3375,235.4,235.4
141,4,2,2,21,21,418180,41289,1,42700,361700,4216,236.9,236.9
151,4,2,2,21,21,331260,32977,1,33940,395580,3378,233.8,233.8
161,4,2,2,21,21,344660,34114,1,36060,431660,3569,227.4,227.4
171,4,2,2,21,21,464000,46141,1,48260,478120,4799,226.8,226.8
181,4,2,2,21,21,338720,33666,1,35360,512900,3514,226.4,226.4
