time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,0,0,0,0,0,0,0.0,0.0
20,4,2,2,21,21,9500,942,1,1140,0,113,0.0,0.0
30,4,2,2,21,21,41100,4096,1,4460,4540,444,2742.3,2742.3
40,4,2,2,21,21,181740,17942,1,19520,22960,1927,756.4,756.4
50,4,2,2,21,21,146080,14474,1,14840,38400,1470,619.1,619.1
60,4,2,2,21,21,197080,19590,1,20200,57920,2007,553.2,553.2
70,4,2,2,21,21,237060,23357,1,23700,82500,2335,459.9,459.9
80,4,2,2,21,21,341140,33679,1,34440,117060,3400,384.8,384.8
90,4,2,2,21,21,352740,34728,1,35940,153900,3538,346.3,346.3
100,4,2,2,21,21,502680,49844,1,50960,204780,5053,312.4,312.4
111,4,2,2,21,21,339800,33500,1,35240,239520,3474,298.8,298.8
121,4,2,2,21,21,347860,34551,1,35780,275200,3553,286.4,286.4
131,4,2,2,21,21,311600,30675,1,32580,307340,3207,284.4,284.4
141,4,2,2,21,21,463480,46218,1,46960,354400,4682,276.4,276.4
151,4,2,2,21,21,325540,32289,1,33940,387940,3366,268.8,268.8
161,4,2,2,21,21,341360,33895,1,34420,422560,3417,264.4,264.4
171,4,2,2,21,21,480580,47828,1,48000,471960,4777,257.9,257.9
181,4,2,2,21,21,317540,31514,1,31980,504600,3173,255.0,255.0
