time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,30,30,0,0,0,0,0,0,0.0,0.0
20,4,2,2,30,30,35080,3470,10,10160,580,1005,2271.2,3519.3
30,4,2,2,30,30,89980,8428,10,4900,5340,458,8524.3,9388.1
41,4,2,2,30,30,38640,3780,10,4060,9360,397,12150.1,13286.1
51,4,2,2,30,30,63140,6129,10,6480,15840,629,14975.4,16717.3
61,4,2,2,30,30,74440,7357,10,6340,22680,626,15605.8,18119.0
72,4,2,2,30,30,97260,9120,10,9140,31720,857,15571.6,18750.3
82,4,2,2,30,30,97160,9563,10,11540,43020,1135,14263.6,16510.1
92,4,2,2,30,30,72060,6897,10,7360,50100,704,14033.7,16109.1
102,4,2,2,30,30,96200,9557,10,10220,59860,1015,13436.3,15047.1
112,4,2,2,30,30,107960,10671,10,11560,70680,1142,12821.8,13871.0
123,4,2,2,30,30,153240,15067,10,15980,86220,1571,11982.1,12616.1
133,4,2,2,30,30,152600,15156,10,15300,101640,1519,11176.1,11696.1
143,4,2,2,30,30,105680,10110,10,11080,112540,1060,10783.2,11146.9
153,4,2,2,30,30,98440,9725,10,9700,121900,958,10795.4,11185.0
163,4,2,2,30,30,140660,13759,10,15100,137660,1477,10340.6,10821.6
174,4,2,2,30,30,180340,17818,10,19180,156800,1895,9883.8,10751.5
184,4,2,2,30,30,96400,9485,10,9320,165720,917,9762.1,10761.6
