time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,30,30,0,0,0,0,0,0,0.0,0.0
20,4,2,2,30,30,47120,4683,10,4960,60,493,530.6,2560.0
30,4,2,2,30,30,65640,6486,10,8780,3440,867,7735.7,12101.8
40,4,2,2,30,30,113360,11115,10,11120,14700,1090,10226.0,11727.0
50,4,2,2,30,30,114660,10882,10,12540,26860,1190,10367.2,13262.0
61,4,2,2,30,30,87600,8349,10,9700,36500,924,9969.4,12150.0
71,4,2,2,30,30,96780,9386,10,10140,46420,983,9570.0,10615.7
81,4,2,2,30,30,114660,11369,10,11520,57880,1142,9504.6,9807.2
91,4,2,2,30,30,111540,11017,10,12060,70340,1191,9540.2,10471.7
104,4,2,2,30,30,138840,11258,10,12920,83260,1047,9402.0,10688.1
114,4,2,2,30,30,178680,17614,10,17680,101620,1742,9322.3,10989.3
124,4,2,2,30,30,167700,16040,10,17420,118840,1666,8736.2,10463.4
135,4,2,2,30,30,129040,12647,10,12840,132040,1258,8538.3,10238.0
145,4,2,2,30,30,246320,23996,10,25480,157420,2482,8058.6,9779.2
155,4,2,2,30,30,205380,20336,10,20860,177340,2065,7761.6,9468.0
165,4,2,2,30,30,193800,19231,10,21100,198400,2093,7470.0,9157.8
175,4,2,2,30,30,290740,28540,10,30160,227960,2960,7104.8,8844.3
185,4,2,2,30,30,87720,8716,10,9320,237180,926,7030.0,8773.3
