time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,28,28,0,0,0,0,0,0,0.0,0.0
20,4,4,4,28,28,0,0,0,0,0,0,0.0,0.0
30,4,4,4,28,28,18160,1809,10,6500,280,647,866.5,2012.0
41,4,4,4,28,28,50980,4604,10,5220,1160,471,7470.5,8882.7
51,4,4,4,28,28,40960,4006,10,1620,3340,158,15059.1,18631.6
61,4,4,4,28,28,28840,2819,10,1720,5040,168,19983.5,24894.5
71,4,4,4,28,28,39460,3902,10,3560,8240,352,24669.2,28295.7
82,4,4,4,28,28,52180,5039,10,5120,13380,494,29713.0,39350.6
92,4,4,4,28,28,49040,4813,10,5480,18380,537,28730.7,36723.2
102,4,4,4,28,28,66460,6497,10,7200,25220,703,26028.4,31580.3
112,4,4,4,28,28,86120,8494,10,8920,34040,879,22726.8,25641.6
123,4,4,4,28,28,69440,6484,10,8260,41660,771,20934.9,24000.6
133,4,4,4,28,28,97880,9488,10,9920,51340,961,19260.1,21878.8
144,4,4,4,28,28,101260,9868,10,10240,61700,997,17784.2,20526.7
154,4,4,4,28,28,108400,10779,10,11220,73420,1115,16391.3,18676.1
164,4,4,4,28,28,152180,14913,10,13920,88620,1364,14761.4,16660.4
174,4,4,4,28,28,132340,13070,10,13960,102340,1378,13802.3,15454.5
184,4,4,4,28,28,112500,10975,10,10580,113320,1032,13296.6,15102.7
