time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,28,28,0,0,0,0,0,0,0.0,0.0
20,4,2,2,28,28,15320,1516,10,2000,2000,197,27.3,73.4
30,4,2,2,28,28,67080,6475,10,6920,8900,668,16.7,24.8
40,4,2,2,28,28,174860,17141,10,17880,26100,1752,10.3,12.8
50,4,2,2,28,28,127640,12532,10,13440,40000,1319,9.4,11.4
60,4,2,2,28,28,192300,19143,10,20760,59760,2066,7.9,9.1
71,4,2,2,28,28,308540,30509,10,31460,91100,3110,6.5,7.5
81,4,2,2,28,28,192480,19146,10,18780,110300,1868,6.2,6.9
91,4,2,2,28,28,225600,22409,10,23660,133120,2350,5.8,6.5
101,4,2,2,28,28,286740,28497,10,29100,162920,2892,5.5,6.0
111,4,2,2,28,28,229860,22848,10,23640,186140,2349,5.3,5.8
121,4,2,2,28,28,235260,23413,10,24020,210440,2390,5.1,5.5
131,4,2,2,28,28,235760,23482,10,24560,234940,2446,5.1,5.4
141,4,2,2,28,28,254360,25301,10,25580,260680,2544,5.0,5.2
151,4,2,2,28,28,245560,24353,10,24680,285240,2447,4.8,5.1
161,4,2,2,28,28,299360,29745,10,30260,316080,3006,4.7,4.9
171,4,2,2,28,28,278820,27729,10,28420,345080,2826,4.6,4.8
181,4,2,2,28,28,235480,23456,10,24700,369280,2460,4.5,4.7
