time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,0,0,0,0,0,0,0.0,0.0
20,4,2,2,21,21,31980,3145,1,3520,2760,346,231.7,231.7
30,4,2,2,21,21,112780,10920,1,12520,14320,1212,585.1,585.1
40,4,2,2,21,21,169260,16685,1,16920,31960,1667,518.9,518.9
50,4,2,2,21,21,133640,13252,1,13420,44740,1330,492.4,492.4
60,4,2,2,21,21,211540,21073,1,21680,67140,2159,428.5,428.5
70,4,2,2,21,21,257840,25602,1,26280,93420,2609,372.2,372.2
80,4,2,2,21,21,368640,36416,1,36960,131740,3651,331.0,331.0
91,4,2,2,21,21,329500,32636,1,33920,165120,3359,299.3,299.3
101,4,2,2,21,21,359560,35809,1,36340,201920,3619,268.4,268.4
111,4,2,2,21,21,384280,38255,1,39240,240920,3906,252.5,252.5
121,4,2,2,21,21,361380,35901,1,37020,277620,3677,248.4,248.4
131,4,2,2,21,21,368060,36655,1,37540,316080,3738,238.7,238.7
141,4,2,2,21,21,468100,46530,1,47780,363340,4749,234.1,234.1
151,4,2,2,21,21,370340,36736,1,37100,401080,3680,230.9,230.9
161,4,2,2,21,21,384480,38059,1,40280,440280,3987,227.8,227.8
171,4,2,2,21,21,494120,49244,1,49040,491920,4887,222.4,222.4
181,4,2,2,21,21,360020,35894,1,37480,528340,3736,219.9,219.9
