time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,0,0,0,0,0,0,0.0,0.0
20,4,2,2,21,21,33180,3283,1,3420,3440,338,436.9,436.9
30,4,2,2,21,21,150140,14381,1,14900,18260,1427,382.0,382.0
40,4,2,2,21,21,248960,24446,1,26280,44120,2580,250.6,250.6
50,4,2,2,21,21,166940,16545,1,17260,61080,1710,263.9,263.9
60,4,2,2,21,21,285060,28319,1,28420,89660,2823,258.2,258.2
70,4,2,2,21,21,390320,38795,1,39860,130680,3961,215.2,215.2
81,4,2,2,21,21,312760,30853,1,32920,162680,3247,207.4,207.4
91,4,2,2,21,21,348820,34312,1,35680,197400,3509,201.3,201.3
101,4,2,2,21,21,454280,45224,1,47200,244740,4698,197.8,197.8
111,4,2,2,21,21,342120,33903,1,35060,279060,3474,201.6,201.6
121,4,2,2,21,21,369400,36723,1,38960,316620,3873,198.7,198.7
131,4,2,2,21,21,350640,34938,1,35640,353060,3551,199.2,199.2
141,4,2,2,21,21,443800,44260,1,46180,398080,4605,198.9,198.9
151,4,2,2,21,21,338860,33710,1,34520,432580,3434,202.8,202.8
161,4,2,2,21,21,384980,38340,1,39860,471760,3969,203.0,203.0
171,4,2,2,21,21,464620,45924,1,46760,520360,4621,203.0,203.0
181,4,2,2,21,21,380820,37862,1,38600,559040,3837,199.7,199.7
