time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,30,30,0,0,0,0,0,0,0.0,0.0
20,4,2,2,30,30,57360,5639,10,11000,340,1081,2049.7,4235.7
30,4,2,2,30,30,60180,5736,10,4400,4820,419,9412.6,11531.7
40,4,2,2,30,30,71140,6917,10,7460,11940,725,13023.5,15846.9
52,4,2,2,30,30,78600,6846,10,7600,19840,662,15204.8,20255.0
62,4,2,2,30,30,59980,5812,10,5240,25020,507,16210.4,21839.0
73,4,2,2,30,30,4840,455,10,260,25320,24,16235.3,21842.5
84,4,2,2,30,30,32540,2945,10,5520,29680,499,18491.6,23208.2
94,4,2,2,30,30,98820,9699,10,7900,37540,775,18832.9,24016.8
104,4,2,2,30,30,109740,10935,10,12100,49800,1205,16387.3,19512.9
115,4,2,2,30,30,105900,10050,10,10460,60800,992,14584.4,16431.6
125,4,2,2,30,30,93040,8860,10,10000,70320,952,14053.9,15628.3
135,4,2,2,30,30,124260,12268,10,11840,82800,1169,13234.0,13625.8
146,4,2,2,30,30,120320,11404,10,11440,93680,1084,12682.6,13286.2
156,4,2,2,30,30,97480,9588,10,10380,103740,1021,12426.3,13001.7
166,4,2,2,30,30,76320,7409,10,8460,112800,821,12321.6,13004.8
177,4,2,2,30,30,76620,7444,10,9340,121680,907,12345.4,12946.4
187,4,2,2,30,30,172880,16867,10,15900,137820,1551,11879.7,12464.8
