time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
20,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
30,4,4,4,19,19,9100,902,1,1280,260,126,1393.9,1393.9
40,4,4,4,19,19,26120,2541,1,2940,3320,286,3394.5,3394.5
50,4,4,4,19,19,94860,9318,1,9200,12280,903,1942.7,1942.7
60,4,4,4,19,19,63720,6334,1,7140,19500,709,1696.5,1696.5
70,4,4,4,19,19,96180,9541,1,9300,29180,922,1384.6,1384.6
80,4,4,4,19,19,156640,15570,1,15420,44660,1532,1100.5,1100.5
91,4,4,4,19,19,138400,13686,1,14580,59340,1441,968.0,968.0
101,4,4,4,19,19,189480,18805,1,19460,78260,1931,834.8,834.8
111,4,4,4,19,19,332660,32623,1,34500,112260,3383,682.1,682.1
121,4,4,4,19,19,226620,22493,1,23520,135640,2334,626.7,626.7
131,4,4,4,19,19,260340,25971,1,26640,162640,2657,573.9,573.9
141,4,4,4,19,19,323040,32200,1,33240,195320,3313,533.9,533.9
151,4,4,4,19,19,194400,19379,1,19500,216100,1943,521.0,521.0
161,4,4,4,19,19,265020,26302,1,27320,242460,2711,497.6,497.6
171,4,4,4,19,19,351780,34957,1,36140,278560,3591,474.7,474.7
181,4,4,4,19,19,305380,30398,1,31700,309600,3155,455.9,455.9
