time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
20,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
30,4,4,4,19,19,20,1,1,0,0,0,0.0,0.0
40,4,4,4,19,19,4220,420,1,500,500,49,8.6,8.6
50,4,4,4,19,19,21940,2144,1,2340,2680,228,6.2,6.2
60,4,4,4,19,19,15680,1559,1,1560,4300,155,5.3,5.3
70,4,4,4,19,19,23620,2350,1,2600,6740,258,4.7,4.7
80,4,4,4,19,19,30720,3054,1,2900,9900,288,4.4,4.4
90,4,4,4,19,19,36580,3634,1,3780,13540,375,3.8,3.8
100,4,4,4,19,19,43820,4366,1,4380,18100,436,3.3,3.3
110,4,4,4,19,19,64960,6475,1,6620,24800,659,2.9,2.9
120,4,4,4,19,19,44120,4397,1,4400,29260,438,2.7,2.7
130,4,4,4,19,19,53480,5297,1,5600,34780,554,2.5,2.5
140,4,4,4,19,19,75100,7492,1,7480,42500,746,2.4,2.4
150,4,4,4,19,19,47940,4784,1,5040,47320,502,2.3,2.3
160,4,4,4,19,19,52880,5277,1,5700,52880,568,2.2,2.2
170,4,4,4,19,19,80260,8008,1,8000,61040,798,2.1,2.1
180,4,4,4,19,19,52080,5197,1,5660,66440,564,2.1,2.1
