time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,9200,919,1,900,20,89,269.0,269.0
20,4,2,2,21,21,15240,1516,1,1560,2500,155,4099.7,4099.7
30,4,2,2,21,21,260560,25985,1,26860,29280,2678,520.1,520.1
40,4,2,2,21,21,665380,66279,1,68040,96320,6777,260.0,260.0
50,4,2,2,21,21,615420,61241,1,63080,159640,6277,211.2,211.2
60,4,2,2,21,21,778360,77541,1,80180,239780,7987,176.7,176.7
70,4,2,2,21,21,807600,80590,1,81260,321860,8108,157.5,157.5
80,4,2,2,21,21,1103000,109893,1,113940,435360,11351,142.9,142.9
90,4,2,2,21,21,787580,78334,1,81920,515560,8148,137.1,137.1
100,4,2,2,21,21,845720,84302,1,84760,602480,8448,131.5,131.5
110,4,2,2,21,21,1114640,111163,1,113000,716320,11269,126.6,126.6
120,4,2,2,21,21,828140,82541,1,85560,801400,8527,124.5,124.5
130,4,2,2,21,21,811360,80965,1,82160,884540,8198,122.9,122.9
140,4,2,2,21,21,1109640,110599,1,113060,998400,11268,120.5,120.5
150,4,2,2,21,21,822360,81990,1,83520,1082540,8327,119.2,119.2
160,4,2,2,21,21,847640,84485,1,86700,1169220,8641,117.9,117.9
170,4,2,2,21,21,1115320,111154,1,113580,1284100,11319,116.0,116.0
180,4,2,2,21,21,823180,81965,1,84940,1368100,8457,115.0,115.0
