time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,28,28,0,0,0,0,0,0,0.0,0.0
20,4,4,4,28,28,17320,1720,10,2240,2200,222,19.6,29.7
30,4,4,4,28,28,138480,13489,10,13740,15980,1338,10.0,11.1
40,4,4,4,28,28,185080,18373,10,18600,35140,1846,7.3,7.9
50,4,4,4,28,28,216480,21514,10,23100,57580,2295,6.1,6.6
60,4,4,4,28,28,338600,33765,10,34480,92380,3438,5.0,5.2
70,4,4,4,28,28,355560,35453,10,34580,128120,3448,4.3,4.5
80,4,4,4,28,28,387940,38662,10,40020,168120,3988,3.9,4.1
90,4,4,4,28,28,452960,45070,10,46300,214800,4606,3.5,3.7
100,4,4,4,28,28,399200,39828,10,40940,255940,4084,3.3,3.5
110,4,4,4,28,28,379540,37836,10,37960,294040,3784,3.2,3.3
120,4,4,4,28,28,472860,47149,10,48700,342880,4855,3.1,3.2
130,4,4,4,28,28,401880,40067,10,41360,384700,4123,3.0,3.1
140,4,4,4,28,28,379680,37873,10,38460,423520,3836,2.9,3.0
150,4,4,4,28,28,481900,48074,10,48680,472380,4856,2.9,3.0
160,4,4,4,28,28,397560,39641,10,40320,513680,4020,2.8,2.9
170,4,4,4,28,28,374440,37361,10,38420,552600,3833,2.8,2.9
180,4,4,4,28,28,487900,48682,10,49720,601940,4961,2.8,2.8
