time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,28,28,0,0,0,0,0,0,0.0,0.0
20,4,2,2,28,28,198380,19397,10,23120,12480,2260,6477.9,7303.3
30,4,2,2,28,28,312320,30422,10,32560,44500,3171,4528.1,5573.0
40,4,2,2,28,28,390500,38832,10,40260,84840,4003,3454.5,4157.6
50,4,2,2,28,28,912560,90102,10,92880,176680,9170,2451.8,3013.0
60,4,2,2,28,28,771700,76877,10,80340,257260,8003,2070.8,2577.7
70,4,2,2,28,28,809860,80703,10,81780,340340,8149,1852.4,2315.0
80,4,2,2,28,28,889440,88651,10,92240,431100,9193,1714.5,2134.7
90,4,2,2,28,28,968360,96029,10,99900,530880,9906,1616.2,2023.8
100,4,2,2,28,28,809620,80711,10,80460,611540,8021,1557.8,1954.0
110,4,2,2,28,28,786900,78509,10,81320,693300,8113,1516.7,1904.9
120,4,2,2,28,28,1038960,103440,10,104820,799320,10436,1481.8,1869.3
131,4,2,2,28,28,757220,75382,10,78580,877920,7822,1462.7,1845.3
141,4,2,2,28,28,822440,82088,10,86860,963640,8669,1437.7,1818.2
151,4,2,2,28,28,1060540,105663,10,107020,1070620,10662,1404.0,1759.7
161,4,2,2,28,28,805400,79782,10,80760,1152720,7999,1391.5,1748.4
171,4,2,2,28,28,807540,80400,10,82900,1235380,8253,1378.3,1736.6
181,4,2,2,28,28,1066020,105997,10,108280,1344640,10766,1362.0,1713.3
