time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,0,0,1,0,0,0,0.0,0.0
20,4,2,2,21,21,12280,1221,1,1300,1280,129,2.5,2.5
30,4,2,2,21,21,71840,7154,1,7380,8640,734,1.5,1.5
40,4,2,2,21,21,76240,7608,1,7700,16500,768,1.3,1.3
50,4,2,2,21,21,103020,10283,1,10420,27140,1040,1.2,1.2
60,4,2,2,21,21,79980,7983,1,8400,35240,838,1.2,1.2
70,4,2,2,21,21,77620,7750,1,7740,43320,772,1.2,1.2
80,4,2,2,21,21,105380,10522,1,10880,54160,1086,1.2,1.2
90,4,2,2,21,21,79380,7915,1,7900,62240,787,1.2,1.2
100,4,2,2,21,21,77700,7756,1,7840,70300,782,1.2,1.2
110,4,2,2,21,21,106340,10619,1,11280,81120,1126,1.1,1.1
120,4,2,2,21,21,78620,7850,1,7700,89220,768,1.1,1.1
130,4,2,2,21,21,80200,8009,1,8540,97260,852,1.1,1.1
140,4,2,2,21,21,105360,10520,1,10480,108120,1046,1.1,1.1
150,4,2,2,21,21,80200,8008,1,8460,116280,844,1.1,1.1
160,4,2,2,21,21,79300,7919,1,7700,124420,769,1.1,1.1
170,4,2,2,21,21,105360,10522,1,10860,135260,1084,1.1,1.1
180,4,2,2,21,21,80720,8061,1,8360,143420,834,1.1,1.1
