time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,30,30,0,0,0,0,0,0,0.0,0.0
20,4,4,4,30,30,16480,1636,10,2240,2180,222,20.3,26.4
30,4,4,4,30,30,98500,9621,10,10100,12060,986,11.4,13.3
40,4,4,4,30,30,164960,16352,10,16240,28540,1609,8.6,9.7
50,4,4,4,30,30,174760,17340,10,18060,46660,1792,7.3,7.8
60,4,4,4,30,30,222200,22008,10,22880,69820,2266,6.2,6.7
70,4,4,4,30,30,320080,31813,10,32120,102240,3192,5.4,5.8
80,4,4,4,30,30,252100,25054,10,25740,127720,2558,5.0,5.3
90,4,4,4,30,30,277000,27567,10,28460,156160,2832,4.7,5.0
100,4,4,4,30,30,348540,34749,10,35580,191680,3547,4.4,4.7
110,4,4,4,30,30,268500,26761,10,28140,220000,2804,4.3,4.4
120,4,4,4,30,30,298340,29759,10,30580,250660,3050,4.1,4.3
130,4,4,4,30,30,303600,30299,10,30000,280860,2994,4.0,4.2
140,4,4,4,30,30,324640,32376,10,32540,314320,3245,3.9,4.1
150,4,4,4,30,30,295660,29498,10,30700,344720,3062,3.9,4.0
160,4,4,4,30,30,298200,29745,10,31640,375440,3156,3.8,3.9
170,4,4,4,30,30,321000,31988,10,33100,408700,3298,3.8,3.9
180,4,4,4,30,30,294580,29396,10,29260,438140,2919,3.7,3.9
