time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,28,28,0,0,5,0,0,0,0.0,0.0
20,4,2,2,28,28,63740,6303,10,10600,500,1048,4168.5,11100.3
30,4,2,2,28,28,297940,29101,10,29000,28740,2832,4617.6,5339.4
40,4,2,2,28,28,441240,43834,10,45200,74740,4490,3277.9,3532.8
50,4,2,2,28,28,699600,69660,10,71560,145500,7125,2464.1,2499.9
60,4,2,2,28,28,755000,74804,10,77240,223960,7652,2000.9,2227.7
70,4,2,2,28,28,773040,77126,10,80080,302740,7989,1799.3,2104.1
80,4,2,2,28,28,1077980,107357,10,108780,413760,10833,1637.8,1960.9
90,4,2,2,28,28,792140,78694,10,80560,494880,8003,1569.9,1913.6
100,4,2,2,28,28,804600,80107,10,82520,576660,8215,1520.8,1870.6
110,4,2,2,28,28,1041220,103676,10,106260,683800,10580,1472.3,1822.0
120,4,2,2,28,28,804920,80139,10,80520,764340,8016,1439.5,1772.3
130,4,2,2,28,28,805000,80211,10,83100,848400,8280,1408.8,1731.4
140,4,2,2,28,28,1037480,103375,10,105720,954040,10534,1379.5,1681.8
150,4,2,2,28,28,820820,81657,10,84600,1039680,8416,1361.9,1665.7
160,4,2,2,28,28,818820,81572,10,83340,1122920,8302,1348.0,1655.1
171,4,2,2,28,28,1065720,106242,10,108600,1231680,10826,1333.7,1642.9
181,4,2,2,28,28,819940,81773,10,83240,1314880,8301,1323.3,1631.1
