time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,30,30,0,0,0,0,0,0,0.0,0.0
20,4,4,4,30,30,16220,1612,10,2280,2080,226,16.4,19.1
30,4,4,4,30,30,91060,8812,10,9620,11340,930,11.7,13.5
40,4,4,4,30,30,178240,17658,10,17380,29220,1721,8.5,9.2
50,4,4,4,30,30,166500,16423,10,16520,46580,1629,7.3,7.8
60,4,4,4,30,30,242640,24004,10,25620,71640,2534,6.0,6.5
70,4,4,4,30,30,326140,32170,10,33900,104720,3343,5.2,5.6
80,4,4,4,30,30,264740,26297,10,27300,131500,2711,4.9,5.1
90,4,4,4,30,30,279860,27832,10,28820,160440,2866,4.6,4.8
101,4,4,4,30,30,341880,33987,10,35420,195640,3521,4.3,4.5
111,4,4,4,30,30,264580,26378,10,26840,223340,2675,4.2,4.4
121,4,4,4,30,30,290240,28948,10,29880,253100,2980,4.1,4.2
131,4,4,4,30,30,351840,35082,10,34260,288200,3416,4.0,4.1
141,4,4,4,30,30,263740,26310,10,27100,315700,2703,3.9,4.0
151,4,4,4,30,30,282520,28175,10,29180,344680,2910,3.9,4.0
161,4,4,4,30,30,346720,34582,10,35980,380700,3588,3.8,3.9
171,4,4,4,30,30,277220,27630,10,29360,409000,2926,3.8,3.9
181,4,4,4,30,30,292120,29130,10,29380,438380,2929,3.7,3.8
