time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,21,21,0,0,0,0,0,0,0.0,0.0
20,4,4,4,21,21,10200,1014,1,1060,100,105,912.0,912.0
30,4,4,4,21,21,47660,4752,1,5880,5920,586,2077.6,2077.6
40,4,4,4,21,21,204780,20359,1,20500,25900,2038,956.4,956.4
50,4,4,4,21,21,232000,23041,1,24960,50220,2478,674.0,674.0
60,4,4,4,21,21,269500,26858,1,26900,77520,2680,503.0,503.0
70,4,4,4,21,21,592400,59074,1,61340,138100,6116,362.7,362.7
80,4,4,4,21,21,552660,54969,1,57480,194600,5717,300.7,300.7
90,4,4,4,21,21,567720,56461,1,58220,252620,5790,267.3,267.3
100,4,4,4,21,21,768140,76386,1,79280,331980,7883,238.4,238.4
110,4,4,4,21,21,566800,56431,1,58460,389080,5820,224.5,224.5
120,4,4,4,21,21,578420,57439,1,58940,448900,5853,214.5,214.5
130,4,4,4,21,21,793380,79006,1,81140,529940,8080,203.9,203.9
140,4,4,4,21,21,558400,55656,1,56060,586760,5587,199.0,199.0
150,4,4,4,21,21,572080,56980,1,58760,645200,5852,194.9,194.9
160,4,4,4,21,21,768200,76377,1,79240,724760,7878,190.0,190.0
170,4,4,4,21,21,594440,59036,1,59680,785120,5927,186.6,186.6
180,4,4,4,21,21,585640,58313,1,59280,845180,5902,183.2,183.2
