time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
20,4,4,4,19,19,11140,1104,1,1180,160,116,446.6,446.6
30,4,4,4,19,19,101860,10159,1,10500,10500,1047,1502.0,1502.0
40,4,4,4,19,19,199680,19898,1,19620,31220,1955,756.1,756.1
50,4,4,4,19,19,354520,35223,1,36240,67740,3600,467.5,467.5
60,4,4,4,19,19,784660,77359,1,80060,147900,7893,293.0,293.0
70,4,4,4,19,19,636180,63383,1,65780,213020,6553,244.9,244.9
80,4,4,4,19,19,655440,65282,1,66720,280400,6645,216.5,216.5
90,4,4,4,19,19,905300,89891,1,92680,372740,9202,194.0,194.0
100,4,4,4,19,19,658940,65638,1,65680,440120,6542,184.0,184.0
110,4,4,4,19,19,669280,66390,1,68640,508760,6808,176.3,176.3
120,4,4,4,19,19,878220,87350,1,89000,598680,8852,169.5,169.5
130,4,4,4,19,19,653040,64992,1,65560,665720,6524,165.7,165.7
140,4,4,4,19,19,653080,65002,1,67980,733520,6766,161.9,161.9
150,4,4,4,19,19,882020,87824,1,90400,823740,9001,158.3,158.3
160,4,4,4,19,19,672200,66978,1,67920,892980,6767,155.9,155.9
170,4,4,4,19,19,647020,64354,1,64960,959280,6461,154.1,154.1
180,4,4,4,19,19,880500,87804,1,90320,1048840,9006,151.7,151.7
