time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,21,21,0,0,0,0,0,0,0.0,0.0
20,4,4,4,21,21,5720,569,1,600,640,59,5.5,5.5
30,4,4,4,21,21,37940,3747,1,4020,4500,397,2.8,2.8
40,4,4,4,21,21,85480,8524,1,8620,13320,859,1.8,1.8
50,4,4,4,21,21,71940,7180,1,7560,20660,754,1.6,1.6
60,4,4,4,21,21,75960,7580,1,7800,28340,778,1.5,1.5
70,4,4,4,21,21,101980,10179,1,10800,38860,1078,1.4,1.4
80,4,4,4,21,21,79040,7886,1,8100,46840,808,1.3,1.3
90,4,4,4,21,21,76980,7673,1,7840,54840,781,1.3,1.3
100,4,4,4,21,21,104100,10390,1,10580,65480,1055,1.3,1.3
110,4,4,4,21,21,77380,7721,1,7540,73440,752,1.3,1.3
120,4,4,4,21,21,79200,7905,1,8380,81540,836,1.3,1.3
130,4,4,4,21,21,104700,10440,1,10220,92260,1019,1.2,1.2
140,4,4,4,21,21,79540,7942,1,8720,100300,870,1.2,1.2
150,4,4,4,21,21,77820,7771,1,7740,108360,772,1.2,1.2
160,4,4,4,21,21,103740,10356,1,10660,119040,1064,1.2,1.2
170,4,4,4,21,21,78760,7862,1,7660,127160,764,1.2,1.2
180,4,4,4,21,21,78700,7856,1,8520,135240,850,1.2,1.2
