time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,21,21,9240,923,1,960,20,95,7.0,7.0
20,4,2,2,21,21,30220,3001,1,2960,3120,293,3297.1,3297.1
30,4,2,2,21,21,257720,25641,1,25940,29540,2580,574.9,574.9
40,4,2,2,21,21,418000,41596,1,43060,72280,4285,314.6,314.6
50,4,2,2,21,21,893940,88922,1,91060,163720,9057,208.5,208.5
60,4,2,2,21,21,792140,78945,1,82540,245140,8226,172.9,172.9
70,4,2,2,21,21,795840,79235,1,80920,326420,8056,156.5,156.5
80,4,2,2,21,21,1094360,109163,1,111480,437920,11120,143.4,143.4
90,4,2,2,21,21,792020,78620,1,81320,519580,8072,137.5,137.5
100,4,2,2,21,21,813580,81171,1,83140,603040,8294,132.9,132.9
110,4,2,2,21,21,1062960,105683,1,108220,712100,10759,128.8,128.8
120,4,2,2,21,21,815240,81320,1,83060,795280,8285,126.7,126.7
130,4,2,2,21,21,809100,80732,1,81100,878740,8092,124.4,124.4
140,4,2,2,21,21,1114240,110980,1,115060,992040,11460,121.9,121.9
150,4,2,2,21,21,833720,83164,1,83560,1077600,8335,120.4,120.4
160,4,2,2,21,21,838100,83542,1,86400,1163760,8612,118.9,118.9
170,4,2,2,21,21,1058660,105644,1,107860,1272020,10763,118.0,118.0
180,4,2,2,21,21,826140,82416,1,84080,1356600,8387,117.0,117.0
