time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,4,4,19,19,0,0,0,0,0,0,0.0,0.0
20,4,4,4,19,19,28580,2829,1,3520,2400,348,909.5,909.5
30,4,4,4,19,19,126720,12198,1,13520,15820,1301,901.1,901.1
40,4,4,4,19,19,135720,13501,1,13160,29820,1309,770.6,770.6
50,4,4,4,19,19,314960,31236,1,31640,61660,3137,533.0,533.0
60,4,4,4,19,19,419340,41688,1,43480,104640,4322,379.2,379.2
70,4,4,4,19,19,603860,60157,1,61740,166300,6150,289.5,289.5
80,4,4,4,19,19,632440,63061,1,65040,230700,6485,245.7,245.7
90,4,4,4,19,19,848360,84371,1,88360,317340,8787,214.9,214.9
100,4,4,4,19,19,650640,64895,1,66200,384000,6602,199.9,199.9
110,4,4,4,19,19,663000,66009,1,67480,452280,6718,188.8,188.8
120,4,4,4,19,19,871260,86614,1,90160,541860,8963,178.4,178.4
130,4,4,4,19,19,653180,65187,1,65880,607920,6574,173.5,173.5
141,4,4,4,19,19,675820,67279,1,70400,677580,7008,168.7,168.7
151,4,4,4,19,19,864360,86194,1,87640,765680,8739,164.0,164.0
161,4,4,4,19,19,665080,66309,1,68140,833860,6793,161.0,161.0
171,4,4,4,19,19,629080,62644,1,65020,897920,6474,159.1,159.1
181,4,4,4,19,19,873320,87131,1,88660,987160,8845,156.0,156.0
