time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,30,30,80,7,10,0,0,0,0.0,0.0
20,4,2,2,30,30,8640,856,10,1400,1440,138,7.6,9.5
30,4,2,2,30,30,199380,19742,10,20340,21200,2014,4.7,5.3
40,4,2,2,30,30,316680,31510,10,33100,54180,3293,3.8,4.0
50,4,2,2,30,30,444300,44143,10,44940,99280,4464,3.2,3.3
60,4,2,2,30,30,464360,46195,10,47320,146100,4707,2.8,2.8
70,4,2,2,30,30,511920,50982,10,52680,199280,5246,2.5,2.6
80,4,2,2,30,30,712540,71090,10,72800,271920,7263,2.3,2.3
90,4,2,2,30,30,545380,54293,10,57460,327840,5720,2.1,2.2
100,4,2,2,30,30,537900,53693,10,54720,383300,5462,2.1,2.1
110,4,2,2,30,30,721940,72013,10,73120,456440,7293,2.0,2.1
120,4,2,2,30,30,540980,53990,10,55820,512640,5570,1.9,2.0
130,4,2,2,30,30,542760,54178,10,55240,568580,5514,1.9,2.0
140,4,2,2,30,30,732720,73118,10,75420,642900,7526,1.9,1.9
150,4,2,2,30,30,545260,54417,10,55340,698860,5522,1.9,1.9
160,4,2,2,30,30,555960,55479,10,56800,755920,5668,1.8,1.9
170,4,2,2,30,30,731020,72977,10,74460,830660,7433,1.8,1.9
180,4,2,2,30,30,548400,54736,10,56280,886800,5617,1.8,1.9
