time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,28,28,60,5,10,0,0,0,0.0,0.0
20,4,2,2,28,28,10360,1031,10,1740,1500,173,101.7,923.5
30,4,2,2,28,28,209400,20813,10,20300,22520,2017,12.4,80.0
40,4,2,2,28,28,415640,41291,10,42240,65600,4196,6.2,33.1
50,4,2,2,28,28,533820,53058,10,52880,119280,5255,4.2,17.6
60,4,2,2,28,28,532560,53117,10,55820,174320,5567,3.4,12.7
70,4,2,2,28,28,634420,63302,10,64580,239900,6443,2.9,10.1
80,4,2,2,28,28,647560,64633,10,64940,305180,6481,2.6,8.1
90,4,2,2,28,28,551600,54967,10,57140,362500,5694,2.5,7.1
100,4,2,2,28,28,650520,64909,10,67800,428800,6765,2.3,6.3
110,4,2,2,28,28,636880,63579,10,64800,494500,6469,2.2,5.6
120,4,2,2,28,28,559400,55839,10,56960,551980,5685,2.2,5.2
130,4,2,2,28,28,662480,66109,10,67780,619000,6763,2.1,4.9
140,4,2,2,28,28,648260,64690,10,65760,685720,6562,2.0,4.5
150,4,2,2,28,28,559100,55798,10,58040,743140,5792,2.0,4.3
160,4,2,2,28,28,660760,65937,10,68720,810260,6857,2.0,4.1
170,4,2,2,28,28,651840,65027,10,67000,877640,6683,1.9,3.9
180,4,2,2,28,28,563200,56207,10,57280,934840,5716,1.9,3.7
