time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,13,13,620,61,0.0,0.000,1,620,700,61,2.2,2.2
20,4,2,2,13,13,7380,730,0.0,0.000,1,7380,8160,730,1.2,1.2
30,4,2,2,13,13,8160,814,0.0,0.000,1,8160,16240,814,1.1,1.1
40,4,2,2,13,13,11060,1104,0.0,0.000,1,11060,27040,1104,1.1,1.1
50,4,2,2,13,13,8120,810,0.0,0.000,1,8120,35180,810,1.1,1.1
60,4,2,2,13,13,8280,826,0.0,0.000,1,8280,43360,826,1.1,1.1
70,4,2,2,13,13,10320,1030,0.0,0.000,1,10320,54300,1030,1.1,1.1
80,4,2,2,13,13,8320,830,0.0,0.000,1,8320,62440,830,1.1,1.1
90,4,2,2,13,13,8160,813,0.0,0.000,1,8160,70640,813,1.1,1.1
100,4,2,2,13,13,11640,1162,0.0,0.000,1,11640,81540,1162,1.1,1.1
110,4,2,2,13,13,8500,848,0.0,0.000,1,8500,89740,848,1.1,1.1
120,4,2,2,13,13,8300,829,0.0,0.000,1,8300,97920,829,1.1,1.1
130,4,2,2,13,13,8340,832,0.0,0.000,1,8340,106100,832,1.1,1.1
140,4,2,2,13,13,10680,1067,0.0,0.000,1,10680,117040,1067,1.1,1.1
150,4,2,2,13,13,8220,821,0.0,0.000,1,8220,125220,821,1.1,1.1
160,4,2,2,13,13,8420,841,0.0,0.000,1,8420,133440,841,1.1,1.1
170,4,2,2,13,13,11500,1148,0.0,0.000,1,11500,144400,1148,1.1,1.1
180,4,2,2,13,13,7860,785,0.0,0.000,1,7860,152600,785,1.1,1.1
