time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,13,13,820,81,0.0,0.000,1,820,780,81,2.0,2.0
20,4,2,2,13,13,7260,719,0.0,0.000,1,7260,8280,719,1.3,1.3
30,4,2,2,13,13,8300,828,0.0,0.000,1,8300,16340,828,1.2,1.2
40,4,2,2,13,13,10560,1054,0.0,0.000,1,10560,27160,1054,1.2,1.2
50,4,2,2,13,13,8320,830,0.0,0.000,1,8320,35320,830,1.1,1.1
60,4,2,2,13,13,8240,823,0.0,0.000,1,8240,43480,823,1.1,1.1
70,4,2,2,13,13,10680,1066,0.0,0.000,1,10680,54420,1066,1.1,1.1
80,4,2,2,13,13,7820,780,0.0,0.000,1,7820,62600,780,1.1,1.1
90,4,2,2,13,13,7860,784,0.0,0.000,1,7860,70800,784,1.1,1.1
100,4,2,2,13,13,8140,813,0.0,0.000,1,8140,79000,813,1.1,1.1
110,4,2,2,13,13,10580,1056,0.0,0.000,1,10580,89920,1056,1.1,1.1
120,4,2,2,13,13,8160,815,0.0,0.000,1,8160,98120,815,1.1,1.1
130,4,2,2,13,13,8400,838,0.0,0.000,1,8400,106320,838,1.1,1.1
140,4,2,2,13,13,11120,1110,0.0,0.000,1,11120,117260,1110,1.1,1.1
150,4,2,2,13,13,7620,761,0.0,0.000,1,7620,125460,761,1.1,1.1
160,4,2,2,13,13,7580,757,0.0,0.000,1,7580,133660,757,1.1,1.1
170,4,2,2,13,13,11100,1108,0.0,0.000,1,11100,144600,1108,1.1,1.1
180,4,2,2,13,13,8600,859,0.0,0.000,1,8600,152800,859,1.1,1.1
