time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,4,4,0,0,0.0,0.000,1,0,0,0,0.0,0.0
20,4,2,2,4,4,9480,943,0.0,0.000,1,9480,8920,943,1.2,1.2
30,4,2,2,4,4,8120,811,0.0,0.000,1,8120,17040,811,1.2,1.2
40,4,2,2,4,4,8320,831,0.0,0.000,1,8320,25180,831,1.2,1.2
50,4,2,2,4,4,11240,1123,0.0,0.000,1,11240,36060,1123,1.1,1.1
60,4,2,2,4,4,8640,862,0.0,0.000,1,8640,44260,862,1.1,1.1
70,4,2,2,4,4,7740,773,0.0,0.000,1,7740,52480,773,1.1,1.1
80,4,2,2,4,4,10060,1001,0.0,0.000,1,10060,63460,1001,1.1,1.1
90,4,2,2,4,4,8220,821,0.0,0.000,1,8220,71700,821,1.1,1.1
100,4,2,2,4,4,8240,823,0.0,0.000,1,8240,79920,823,1.1,1.1
110,4,2,2,4,4,10280,1027,0.0,0.000,1,10280,90900,1027,1.1,1.1
120,4,2,2,4,4,8160,815,0.0,0.000,1,8160,99140,815,1.1,1.1
130,4,2,2,4,4,8580,857,0.0,0.000,1,8580,107380,857,1.1,1.1
140,4,2,2,4,4,10280,1026,0.0,0.000,1,10280,118400,1026,1.1,1.1
150,4,2,2,4,4,8260,825,0.0,0.000,1,8260,126660,825,1.1,1.1
160,4,2,2,4,4,8460,845,0.0,0.000,1,8460,134900,845,1.1,1.1
170,4,2,2,4,4,10920,1091,0.0,0.000,1,10920,145920,1091,1.1,1.1
180,4,2,2,4,4,7820,781,0.0,0.000,1,7820,154180,781,1.1,1.1
