topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,1,4,10,10,0,1000,10,512,100,5,29,986.1666667
4,10,2,10,10,1,1,10,512,100,5,0,1163.5
2,10,2,1000000,1,1,1000,10,512,100,2,29,4706.25
4,1,4,10,10,0,1000,10,1024,100,2,29,886.25
2,10,4,10,1,1,1,10,512,100,5,0,774.25
4,10,4,10,10,0,1,1000,1024,10000,5,0,968
4,1,4,1000000,10,0,1000,10,1024,100,2,29,891.5833333
4,10,2,10,10,0,1000,10,1024,100,2,29,743.1666667
4,10,2,10,1,0,1000,10,1024,100,2,29,2430.833333
4,1,2,10,10,0,1000,10,512,100,5,29,825.8333333
2,10,4,10,1,0,1,10,512,100,2,29,797.3333333
4,1,2,10,10,1,1,10,512,100,2,0,1245.083333
2,1,4,1000000,1,0,1,1000,512,10000,5,0,789.5833333
2,1,2,10,10,1,1,1000,1024,10000,5,29,2500.333333
2,1,2,1000000,1,1,1000,10,1024,100,2,29,4510.25
4,10,4,1000000,1,0,1,1000,512,10000,2,29,524.5833333
2,1,4,1000000,1,0,1000,10,512,100,2,0,3490.916667
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,901
4,1,4,10,10,1,1000,1000,1024,10000,2,0,942.75
4,10,4,1000000,1,0,1,1000,512,10000,2,0,491.4166667
2,1,4,1000000,10,1,1,1000,512,10000,5,0,2354.083333
2,1,4,1000000,1,1,1,10,1024,100,5,0,761.1666667
2,1,2,1000000,10,1,1,1000,512,10000,5,0,2482.75
4,1,4,10,1,1,1,1000,1024,10000,2,0,529.5
2,10,4,1000000,10,0,1000,10,1024,100,5,29,1507.416667
2,10,4,1000000,10,0,1,10,1024,100,5,29,2544.916667
4,10,2,1000000,10,1,1,10,1024,100,2,0,1193.916667
2,1,4,1000000,1,1,1000,10,1024,100,5,29,3666.666667
4,1,4,10,10,1,1,10,512,100,5,29,1162.5
4,1,4,10,10,1,1,10,1024,100,2,0,1136.75
2,1,4,10,1,1,1000,10,1024,100,5,0,3602.083333
2,1,4,10,10,1,1,1000,1024,10000,2,29,2362.75
4,10,4,1000000,10,1,1,1000,512,10000,2,0,1135.583333
4,1,2,1000000,1,0,1,10,512,100,2,29,536
4,1,4,10,10,1,1,1000,1024,10000,2,0,1144.25
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,3656.25
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,1242.166667
