topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,1,4,10,1,1,1000,1000,1024,10000,2,29,59772.41667
4,10,4,1000000,10,0,1,10,512,100,5,0,0.25
4,10,2,1000000,10,0,1,10,512,100,2,29,0.333333333
2,1,2,1000000,10,1,1,10,1024,100,5,29,0
2,10,4,1000000,1,0,1,1000,512,10000,2,29,149.1666667
4,10,4,1000000,1,0,1,10,512,100,5,0,54.83333333
2,10,2,10,10,1,1,1000,512,10000,5,29,8389.833333
4,1,2,1000000,10,1,1,1000,512,10000,5,0,0.166666667
2,10,2,10,1,1,1,10,1024,100,5,29,907.75
2,10,4,1000000,10,0,1,10,512,100,2,29,0
2,10,4,1000000,10,1,1000,10,512,100,2,0,0
4,1,4,10,10,0,1,1000,512,10000,2,29,8902.333333
4,10,2,1000000,10,1,1,10,1024,100,5,29,0
4,1,4,1000000,1,1,1,10,512,100,2,0,117.5
2,1,4,1000000,10,1,1,10,1024,100,5,0,0
2,10,4,10,10,1,1000,1000,1024,10000,5,29,19206.25
2,1,2,1000000,10,0,1,10,512,100,2,29,0
2,1,4,10,1,0,1000,10,512,100,5,29,22605.16667
4,1,4,10,10,0,1000,10,512,100,2,29,28023.75
4,1,2,10,10,0,1000,10,512,100,5,0,4692.25
2,10,4,1000000,10,0,1000,10,512,100,2,29,0
2,1,2,1000000,1,0,1,10,512,100,2,0,81.16666667
2,10,4,1000000,1,1,1000,1000,1024,10000,2,0,10.91666667
4,10,2,1000000,1,1,1000,10,1024,100,5,0,1.666666667
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,82.5
4,10,2,1000000,10,1,1,10,512,100,2,29,10.83333333
4,10,2,10,10,0,1000,1000,512,10000,5,29,13247.33333
2,1,4,10,1,0,1,1000,1024,10000,2,0,920.4166667
4,10,4,1000000,1,0,1000,10,1024,100,5,0,-4
2,10,4,1000000,10,1,1,1000,1024,10000,2,29,0
2,10,2,1000000,10,1,1,1000,1024,10000,5,29,0
4,1,4,10,10,0,1000,10,512,100,2,0,29686.66667
2,10,4,1000000,10,0,1000,1000,512,10000,2,0,0
2,1,4,1000000,10,1,1000,1000,512,10000,5,29,0
2,1,2,10,1,1,1,10,1024,100,2,29,912.5833333
4,10,4,1000000,1,1,1,10,1024,100,5,29,53
4,10,4,1000000,1,0,1000,1000,1024,10000,5,29,49.5
2,10,4,10,1,1,1,1000,512,10000,5,29,926.5833333
2,10,4,10,1,0,1000,1000,1024,10000,2,0,56260.58333
2,10,2,1000000,10,1,1000,10,1024,100,5,29,0
4,10,2,1000000,1,0,1000,1000,1024,10000,5,0,-0.083333333
2,10,4,10,1,1,1000,10,1024,100,2,0,52389
4,10,4,1000000,10,0,1,1000,1024,10000,2,0,-0.083333333
4,10,4,10,10,0,1,1000,1024,10000,2,0,8710.75
4,10,4,1000000,10,1,1,1000,1024,10000,2,0,64.75
4,10,4,10,10,0,1000,10,1024,100,5,0,10842
4,10,2,10,10,0,1,10,1024,100,5,0,4903.5
4,10,2,10,1,0,1,1000,1024,10000,2,0,895.9166667
2,10,2,1000000,1,1,1000,1000,512,10000,2,0,23.33333333
2,10,2,1000000,1,1,1,1000,1024,10000,2,29,152.8333333
2,10,2,10,10,1,1000,1000,512,10000,2,0,48319.91667
4,10,2,10,1,0,1000,1000,512,10000,2,0,36979.33333
4,10,4,10,10,0,1000,10,1024,100,5,29,9744.25
4,1,2,1000000,10,1,1000,1000,512,10000,2,29,-0.166666667
4,10,2,1000000,1,0,1000,10,512,100,5,0,8.833333333
4,1,4,1000000,10,0,1,10,1024,100,2,0,148.25
2,10,4,10,1,0,1,1000,512,10000,2,0,907.6666667
4,10,2,10,10,1,1,10,512,100,5,29,4991.166667
2,10,4,10,1,0,1000,10,512,100,2,0,52404.5
4,10,4,10,1,1,1000,1000,1024,10000,2,0,43443.25
2,1,4,1000000,10,0,1000,1000,1024,10000,2,29,0
4,1,4,10,10,0,1000,1000,512,10000,2,29,28477.25
2,1,4,1000000,1,1,1000,1000,512,10000,2,0,1
4,1,4,1000000,1,1,1,1000,1024,10000,5,29,49.83333333
4,10,2,10,10,0,1000,1000,512,10000,2,29,31974.83333
4,10,4,10,10,0,1,10,1024,100,2,29,8802.25
2,10,4,10,1,1,1000,1000,512,10000,5,29,18138.41667
4,1,4,1000000,10,1,1000,10,512,100,2,0,66.33333333
2,1,4,1000000,1,0,1000,1000,512,10000,2,29,-3.833333333
2,1,4,1000000,10,1,1,1000,512,10000,5,29,0
4,10,4,1000000,1,1,1000,10,512,100,5,0,-0.083333333
2,10,2,10,1,1,1000,10,512,100,2,0,44822.25
2,1,2,10,1,0,1,1000,512,10000,5,29,908.25
4,1,2,1000000,1,1,1000,1000,1024,10000,2,29,76.91666667
2,1,4,10,10,1,1000,10,1024,100,2,29,48634.08333
2,10,2,10,1,0,1000,10,1024,100,5,0,16383.83333
2,1,2,10,1,1,1,10,512,100,2,29,932.9166667
4,1,4,10,1,1,1,10,1024,100,2,29,917.75
4,10,4,1000000,1,0,1000,1000,512,10000,5,29,53.75
2,10,2,1000000,1,1,1,10,512,100,5,29,65
2,1,2,1000000,10,1,1000,10,512,100,2,0,0
4,10,4,10,1,1,1,1000,1024,10000,2,0,885.25
4,1,4,10,10,1,1,1000,512,10000,2,0,8907.416667
2,10,2,10,1,1,1,10,1024,100,2,29,902.25
4,1,4,1000000,1,1,1,10,1024,100,2,29,118.8333333
4,1,4,10,10,1,1,10,512,100,2,29,8928.25
2,10,4,10,10,1,1,10,512,100,2,29,9137.75
4,1,2,1000000,10,1,1,1000,1024,10000,2,29,443.5
4,1,2,1000000,1,0,1,1000,512,10000,5,0,42.16666667
2,1,4,10,1,0,1000,10,1024,100,2,0,57834.91667
4,10,2,1000000,10,0,1000,1000,1024,10000,5,0,-0.166666667
4,10,4,10,10,0,1000,1000,1024,10000,5,29,9923
4,1,4,10,1,0,1000,10,512,100,5,29,14575.25
2,10,2,10,1,0,1000,1000,1024,10000,2,29,49469.16667
4,1,4,10,1,0,1000,1000,512,10000,5,0,15436.66667
4,10,2,1000000,10,0,1000,10,512,100,5,0,-5
2,1,2,1000000,1,1,1,10,1024,100,2,0,84.33333333
4,10,4,10,10,1,1,1000,1024,10000,2,29,8780.416667
2,1,4,10,1,1,1000,1000,512,10000,5,0,23275.91667
2,10,4,10,1,1,1000,10,1024,100,5,0,18550.5
4,1,4,10,1,0,1000,10,1024,100,2,0,44042.16667
2,1,4,10,1,1,1000,1000,1024,10000,2,0,60418.5
4,1,2,1000000,10,1,1000,10,512,100,2,29,12.33333333
4,10,2,10,10,0,1000,10,512,100,5,0,11727.75
4,10,4,1000000,10,0,1,10,1024,100,2,0,192.8333333
2,10,2,1000000,1,0,1000,10,512,100,5,0,-3.833333333
2,10,2,10,10,0,1000,10,1024,100,5,0,16304.58333
4,1,2,1000000,1,0,1,10,1024,100,2,0,201.1666667
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,23.41666667
4,1,4,10,10,1,1000,10,512,100,2,29,28245.66667
4,1,2,1000000,1,0,1,1000,512,10000,2,29,199.3333333
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,0
4,10,2,10,1,1,1000,10,512,100,2,0,36316.41667
2,1,2,1000000,10,1,1,1000,1024,10000,5,0,0
2,1,4,1000000,1,0,1,10,512,100,5,0,46.16666667
