topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,1,2,10,10,0,1000,1000,1024,10000,5,29,9138.333333
4,10,4,1000000,10,1,1,1000,512,10000,5,29,3064.416667
2,10,4,10,10,0,1000,1000,512,10000,2,0,7713.166667
4,1,4,10,1,0,1,1000,512,10000,2,29,889.0833333
4,1,4,1000000,1,1,1000,10,512,100,5,0,6118.083333
4,10,2,10,10,0,1000,1000,512,10000,5,29,5359.083333
4,10,2,10,1,0,1000,10,1024,100,5,29,7184.75
2,10,2,10,1,1,1000,1000,1024,10000,2,0,9971.083333
2,10,2,1000000,1,0,1000,1000,1024,10000,5,0,9696.666667
4,10,2,1000000,10,0,1,10,1024,100,2,29,4134.25
4,10,4,1000000,1,1,1,10,1024,100,5,29,869.8333333
2,10,4,10,10,0,1000,1000,1024,10000,2,29,8411.5
4,1,2,1000000,1,1,1,10,512,100,2,29,882.0833333
4,1,2,1000000,1,1,1000,10,1024,100,2,0,7187.5
2,1,4,10,10,0,1000,10,1024,100,5,0,8073.583333
4,10,2,10,1,0,1000,1000,512,10000,2,0,7292.583333
2,1,4,10,1,0,1,10,512,100,5,0,900.5833333
4,10,4,10,10,1,1,1000,1024,10000,5,0,3010.916667
2,1,2,1000000,10,0,1000,10,1024,100,5,0,8825.833333
2,10,4,1000000,10,0,1000,10,512,100,5,0,8078.5
4,1,2,1000000,10,0,1000,10,1024,100,2,0,5761.416667
4,1,2,10,1,1,1,10,1024,100,2,0,881.6666667
4,10,2,1000000,10,0,1000,10,512,100,2,0,5476.666667
4,1,4,1000000,1,0,1000,10,1024,100,2,29,5922.5
4,1,2,10,1,0,1000,1000,512,10000,2,0,7356
4,1,4,10,1,0,1,10,1024,100,5,29,886.9166667
2,10,2,10,1,0,1000,10,1024,100,5,0,9913.25
4,1,2,10,1,1,1000,10,1024,100,2,29,7470.083333
2,1,2,10,10,1,1000,10,1024,100,5,29,8477
2,10,4,10,1,1,1,1000,512,10000,2,0,922.75
4,1,2,1000000,1,0,1000,10,512,100,2,29,7302.083333
4,10,2,10,10,1,1,1000,512,10000,5,0,4123.166667
2,10,4,1000000,1,0,1,1000,1024,10000,2,29,902.75
2,1,4,1000000,10,0,1000,1000,1024,10000,5,0,7608.916667
2,1,2,10,10,0,1,1000,1024,10000,2,29,6443.166667
4,10,4,10,1,0,1,10,1024,100,2,29,889.5833333
2,1,2,1000000,10,1,1000,10,512,100,2,0,8874.083333
2,10,4,1000000,1,0,1000,10,512,100,5,0,9202.25
4,1,2,10,10,1,1,1000,512,10000,2,0,4008.333333
4,1,4,10,1,1,1000,10,512,100,2,29,6309.25
2,10,4,10,1,0,1000,1000,1024,10000,2,0,9480.416667
4,1,2,10,1,1,1,1000,512,10000,5,0,874.8333333
4,1,2,10,10,1,1000,1000,512,10000,5,29,5291.666667
4,10,2,10,10,0,1000,1000,1024,10000,2,0,5538.916667
2,1,2,1000000,10,1,1,10,1024,100,5,0,6410.75
