topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,1,2,10,1,1,1000,10,1024,100,2,0,30.95
4,1,2,10,1,1,1000,1000,1024,10000,5,0,96.25
2,1,2,1000000,1,0,1,1000,512,10000,2,0,12.3
2,1,2,1000000,10,1,1,1000,512,10000,2,0,0
4,10,2,1000000,10,1,1000,1000,512,10000,5,0,44.73333333
2,10,4,10,10,0,1,10,1024,100,5,29,1.375
4,10,4,1000000,10,1,1,1000,512,10000,5,0,822.0833333
2,10,2,1000000,1,1,1,1000,512,10000,2,29,6.525
4,10,2,10,10,1,1000,1000,512,10000,5,0,1774.466667
2,1,2,1000000,1,1,1000,10,512,100,2,0,1792.666667
2,1,4,1000000,1,1,1,10,512,100,2,29,11.8
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,682.375
4,10,4,10,1,1,1,1000,512,10000,5,0,1.241666667
2,10,2,10,1,1,1,10,512,100,2,29,1.1
4,10,2,10,1,0,1000,10,512,100,5,29,85.15833333
2,10,2,10,1,0,1,10,512,100,2,0,1.1
2,10,2,10,1,1,1,1000,512,10000,2,0,1.1
4,1,4,10,1,1,1,10,512,100,5,29,1.241666667
4,1,2,10,10,1,1,10,1024,100,5,29,2.441666667
2,10,4,1000000,1,1,1,1000,1024,10000,5,0,15.5
2,10,2,1000000,10,1,1,1000,512,10000,5,0,0
2,10,4,10,10,1,1,1000,512,10000,5,29,1.391666667
4,10,4,1000000,1,0,1,1000,1024,10000,5,29,18.59166667
4,1,4,10,10,1,1,10,1024,100,5,0,2.7
2,1,4,10,1,0,1,10,512,100,2,0,1.1
4,10,2,1000000,10,0,1,10,512,100,5,29,2.541666667
4,1,2,1000000,10,1,1000,10,512,100,5,0,0
2,1,4,1000000,1,0,1000,10,1024,100,2,0,151.95
2,10,4,10,1,0,1,10,512,100,5,29,1.125
2,10,2,1000000,1,1,1000,1000,512,10000,5,29,0
4,1,4,1000000,10,1,1,1000,512,10000,2,0,36.99166667
2,10,4,10,10,0,1,10,512,100,5,0,1.416666667
2,10,2,10,1,0,1000,1000,512,10000,5,29,59.675
2,1,2,10,10,1,1000,1000,512,10000,5,0,595.5416667
2,10,4,10,1,0,1,1000,1024,10000,5,29,1.116666667
2,1,4,1000000,10,1,1,1000,1024,10000,2,29,0
2,1,2,10,10,0,1000,1000,512,10000,2,0,393.2166667
4,1,2,10,1,0,1000,10,512,100,2,0,33.05
2,10,2,10,1,0,1000,10,512,100,5,29,53.39166667
2,10,4,1000000,10,0,1,1000,512,10000,2,29,0
4,10,4,1000000,10,1,1,1000,512,10000,2,0,80.3
4,10,2,10,1,0,1,1000,1024,10000,2,29,1.183333333
4,10,4,10,10,1,1000,10,1024,100,5,0,2024.625
4,10,4,10,1,0,1,10,512,100,5,29,1.25
2,10,2,10,10,0,1,10,1024,100,2,0,1.116666667
4,10,2,10,10,1,1000,10,512,100,2,0,525.3583333
2,10,4,10,10,0,1,1000,1024,10000,2,0,1.125
2,1,2,1000000,10,1,1,10,512,100,2,0,0
4,1,4,10,10,1,1,1000,512,10000,5,0,2.683333333
4,1,4,10,1,0,1000,1000,512,10000,2,29,19.575
2,10,4,10,1,0,1000,1000,1024,10000,5,0,39.58333333
4,10,2,1000000,10,0,1,1000,512,10000,2,0,32.2
2,1,4,10,10,1,1,10,1024,100,2,29,1.116666667
4,1,2,1000000,1,0,1,10,1024,100,2,29,5.266666667
4,1,2,1000000,1,1,1,1000,1024,10000,5,29,22.675
2,1,4,1000000,1,0,1,1000,1024,10000,5,29,19.45
2,10,4,1000000,1,1,1000,10,1024,100,2,29,1877.083333
2,10,4,1000000,1,0,1000,1000,1024,10000,2,0,1429.391667
4,1,2,1000000,1,1,1,1000,512,10000,5,0,22.6
4,10,4,10,10,1,1,10,512,100,2,0,1.441666667
4,1,4,10,1,1,1,10,512,100,2,0,1.166666667
2,10,4,10,10,0,1000,1000,1024,10000,5,0,649.1833333
2,1,4,10,10,0,1000,10,1024,100,5,29,613.6416667
4,1,4,10,10,0,1,1000,512,10000,2,0,1.7
2,1,2,10,1,1,1000,1000,1024,10000,2,0,19.8
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,758.3833333
4,1,2,1000000,10,0,1000,10,1024,100,5,0,0
2,10,2,10,10,1,1,1000,1024,10000,5,29,1.375
2,1,4,10,1,0,1,1000,1024,10000,5,29,1.1
2,10,4,10,10,0,1,10,512,100,2,0,1.108333333
2,10,4,1000000,10,1,1,10,512,100,5,0,0
2,1,2,10,1,1,1000,1000,1024,10000,5,29,63.58333333
4,10,2,10,1,0,1,1000,512,10000,5,29,1.258333333
