topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,10,4,10,10,0,1,1000,512,10000,5,0,0
2,10,2,10,1,1,1000,1000,512,10000,5,0,nan
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,nan
2,10,4,1000000,10,1,1000,1000,1024,10000,2,0,0
4,10,4,1000000,1,1,1000,10,1024,100,5,29,0
4,1,4,10,1,0,1,1000,1024,10000,2,29,nan
2,1,4,10,1,1,1000,1000,1024,10000,5,0,nan
4,10,2,1000000,10,0,1,1000,1024,10000,2,29,1077.428571
4,10,2,10,1,1,1,1000,512,10000,5,0,nan
4,1,2,1000000,10,0,1000,10,1024,100,2,0,2122.166667
2,1,2,10,1,1,1000,1000,1024,10000,2,0,nan
2,10,4,1000000,1,0,1000,1000,512,10000,2,0,nan
2,1,2,1000000,1,1,1,1000,1024,10000,5,0,nan
2,1,2,10,10,1,1000,10,1024,100,2,29,11659.33333
4,1,2,1000000,1,0,1,1000,1024,10000,2,0,0
4,10,2,10,10,1,1000,10,1024,100,2,29,6295.428571
4,1,4,10,1,1,1,10,1024,100,2,29,nan
4,1,2,1000000,10,0,1000,1000,512,10000,5,29,2100
4,1,2,1000000,10,0,1,1000,512,10000,2,29,nan
4,10,2,10,1,1,1,10,1024,100,2,0,nan
4,10,4,10,1,0,1,1000,1024,10000,5,29,nan
2,1,2,1000000,10,1,1,1000,512,10000,5,0,0
2,1,2,10,10,0,1,10,512,100,2,0,nan
4,1,2,10,1,0,1000,1000,512,10000,2,29,nan
4,1,2,1000000,10,0,1,10,1024,100,5,0,0
2,1,2,1000000,10,1,1000,10,1024,100,2,0,nan
4,10,4,1000000,1,0,1000,10,512,100,5,0,0
2,1,2,1000000,10,0,1000,10,1024,100,5,29,nan
2,1,2,1000000,1,0,1000,10,1024,100,2,0,nan
4,1,4,10,10,0,1,1000,512,10000,2,0,nan
2,1,2,10,10,1,1,1000,512,10000,5,0,0
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,nan
2,10,2,1000000,1,1,1000,10,512,100,5,0,nan
2,1,4,1000000,1,1,1,1000,512,10000,2,29,nan
4,10,2,1000000,1,0,1,10,1024,100,5,0,nan
4,10,2,1000000,1,0,1,1000,1024,10000,2,0,nan
2,1,4,1000000,1,1,1000,10,512,100,5,29,0
2,1,4,1000000,10,0,1000,10,512,100,5,29,nan
4,1,2,1000000,10,1,1000,10,512,100,5,0,nan
2,1,2,10,10,1,1,10,1024,100,5,0,0
2,1,4,10,10,0,1000,10,512,100,2,29,12117
4,10,2,1000000,1,1,1000,10,1024,100,5,0,0
2,1,2,10,1,0,1000,10,512,100,5,29,nan
4,10,4,1000000,10,0,1,10,1024,100,5,0,0
4,10,4,1000000,1,0,1,10,1024,100,2,29,nan
2,1,4,10,1,0,1000,10,512,100,2,29,nan
2,1,4,10,1,1,1000,10,1024,100,2,29,0
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,1579
2,10,2,1000000,10,0,1000,1000,512,10000,2,29,nan
2,1,4,10,10,0,1,10,1024,100,5,0,0
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,nan
2,1,4,10,10,1,1,1000,1024,10000,5,0,nan
2,1,4,10,1,0,1000,1000,512,10000,2,0,nan
4,10,4,1000000,10,0,1000,1000,1024,10000,5,29,0
4,10,4,1000000,10,1,1000,10,1024,100,5,0,nan
2,10,2,1000000,1,1,1,10,512,100,5,0,nan
4,10,4,10,1,0,1000,1000,1024,10000,2,29,nan
4,1,2,1000000,1,1,1000,1000,1024,10000,2,0,nan
2,1,2,1000000,1,1,1,10,1024,100,2,0,nan
2,1,4,10,10,0,1,1000,512,10000,2,29,nan
2,1,4,1000000,10,0,1,1000,512,10000,2,29,0
4,10,2,10,1,0,1000,1000,1024,10000,2,0,4720
2,1,2,10,1,1,1000,1000,1024,10000,5,0,nan
2,10,4,1000000,10,1,1000,1000,512,10000,5,29,nan
4,10,2,1000000,10,1,1000,10,512,100,2,29,nan
2,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0
2,10,4,1000000,10,0,1000,10,512,100,5,29,nan
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,5563
2,10,4,10,10,1,1000,1000,1024,10000,5,29,0
2,10,2,10,1,0,1,10,1024,100,5,0,nan
4,10,4,1000000,10,0,1,1000,512,10000,5,0,0
2,1,2,1000000,10,0,1,1000,1024,10000,5,0,0
4,10,2,10,1,0,1,10,512,100,5,0,nan
4,10,2,10,1,0,1000,10,1024,100,2,0,0
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,2448.25
4,10,2,1000000,1,1,1,10,512,100,2,0,nan
4,10,4,1000000,1,0,1000,1000,512,10000,5,0,6042.5
4,10,2,10,10,0,1000,10,1024,100,5,0,8883.888889
2,10,2,1000000,10,0,1000,10,512,100,5,29,0
4,1,2,10,1,1,1000,1000,1024,10000,2,29,0
4,1,4,1000000,1,0,1000,1000,512,10000,5,29,5597
2,1,4,10,10,0,1,1000,1024,10000,2,29,3813.75
2,1,4,10,1,1,1,10,1024,100,2,0,nan
2,1,4,1000000,10,1,1000,10,512,100,2,0,nan
2,1,2,10,1,0,1000,1000,512,10000,5,29,nan
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0
2,1,2,1000000,10,1,1000,1000,512,10000,2,0,nan
2,10,2,1000000,1,1,1000,1000,512,10000,5,0,nan
4,10,2,10,10,1,1000,1000,1024,10000,2,29,8798.833333
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,0
4,10,2,1000000,10,1,1000,1000,512,10000,5,29,nan
4,10,4,1000000,1,0,1,10,1024,100,2,0,nan
2,10,4,10,10,1,1,10,1024,100,2,0,3702.5
4,10,2,10,1,0,1,1000,512,10000,5,0,nan
4,10,2,1000000,10,0,1000,10,512,100,5,29,1555.666667
4,10,2,1000000,1,0,1000,1000,512,10000,5,0,0
2,10,2,1000000,10,1,1000,1000,1024,10000,2,0,nan
2,1,4,10,1,0,1,10,512,100,2,0,nan
4,1,4,1000000,10,0,1000,10,512,100,2,29,0
4,10,2,10,10,1,1000,10,1024,100,5,0,7120.2
2,10,2,10,1,1,1,1000,1024,10000,5,0,nan
4,10,4,10,10,0,1,10,512,100,5,0,5030
2,10,4,1000000,10,0,1000,10,1024,100,5,29,0
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,0
4,1,4,1000000,10,0,1,1000,512,10000,5,29,nan
2,10,4,10,10,1,1,10,1024,100,2,0,0
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0
4,10,4,1000000,10,1,1,1000,512,10000,5,0,0
2,1,2,10,1,0,1,1000,512,10000,5,29,nan
2,10,2,1000000,10,1,1000,1000,512,10000,2,29,nan
2,1,2,10,10,0,1000,1000,512,10000,2,0,0
4,1,2,10,10,0,1000,10,512,100,5,29,5634.666667
4,10,4,10,10,1,1,1000,512,10000,5,0,4267.8
4,1,2,1000000,1,1,1000,1000,512,10000,5,0,6803.5
4,10,4,10,1,1,1000,1000,512,10000,2,29,6905.5
2,10,4,10,1,0,1,10,512,100,2,0,nan
4,10,2,10,10,1,1,10,1024,100,2,0,nan
2,1,4,1000000,1,0,1,10,1024,100,5,29,nan
4,1,4,1000000,1,0,1000,1000,1024,10000,5,29,nan
2,1,2,10,10,0,1,10,512,100,5,0,0
2,10,2,1000000,10,1,1000,10,512,100,2,0,0
2,1,2,1000000,10,0,1000,1000,1024,10000,5,29,0
4,1,2,1000000,1,0,1,10,1024,100,2,0,nan
4,1,2,1000000,1,0,1,1000,512,10000,5,0,nan
