topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,1,4,10,10,0,1000,10,512,100,5,29,16295.66667
4,10,2,10,10,1,1,10,512,100,5,0,14
2,10,2,1000000,1,1,1000,10,512,100,2,29,265.4833333
4,1,4,10,10,0,1000,10,1024,100,2,29,18127.25
2,10,4,10,1,1,1,10,512,100,5,0,1.483333333
4,10,4,10,10,0,1,1000,1024,10000,5,0,17.38333333
4,1,4,1000000,10,0,1000,10,1024,100,2,29,15732.675
4,10,2,10,10,0,1000,10,1024,100,2,29,21690.9
4,10,2,10,1,0,1000,10,1024,100,2,29,732.3916667
4,1,2,10,10,0,1000,10,512,100,5,29,20522.04167
2,10,4,10,1,0,1,10,512,100,2,29,1.6
4,1,2,10,10,1,1,10,512,100,2,0,12.60833333
2,1,4,1000000,1,0,1,1000,512,10000,5,0,1.466666667
2,1,2,10,10,1,1,1000,1024,10000,5,29,5.325
2,1,2,1000000,1,1,1000,10,1024,100,2,29,302.6916667
4,10,4,1000000,1,0,1,1000,512,10000,2,29,2.858333333
2,1,4,1000000,1,0,1000,10,512,100,2,0,296.925
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,17984.1
4,1,4,10,10,1,1000,1000,1024,10000,2,0,16549.28333
4,10,4,1000000,1,0,1,1000,512,10000,2,0,2.966666667
2,1,4,1000000,10,1,1,1000,512,10000,5,0,5.8
2,1,4,1000000,1,1,1,10,1024,100,5,0,1.483333333
2,1,2,1000000,10,1,1,1000,512,10000,5,0,5.525
4,1,4,10,1,1,1,1000,1024,10000,2,0,2.95
2,10,4,1000000,10,0,1000,10,1024,100,5,29,9838.466667
2,10,4,1000000,10,0,1,10,1024,100,5,29,6.083333333
4,10,2,1000000,10,1,1,10,1024,100,2,0,13.5
2,1,4,1000000,1,1,1000,10,1024,100,5,29,268.075
4,1,4,10,10,1,1,10,512,100,5,29,13.44166667
4,1,4,10,10,1,1,10,1024,100,2,0,13.34166667
2,1,4,10,1,1,1000,10,1024,100,5,0,261.6583333
2,1,4,10,10,1,1,1000,1024,10000,2,29,5.783333333
4,10,4,1000000,10,1,1,1000,512,10000,2,0,14.6
4,1,2,1000000,1,0,1,10,512,100,2,29,2.816666667
4,1,4,10,10,1,1,1000,1024,10000,2,0,14.075
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,270.225
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,13.11666667
4,10,2,1000000,10,1,1,1000,512,10000,5,0,12.44166667
2,1,4,1000000,10,1,1000,10,1024,100,5,0,12231.1
2,1,4,1000000,1,1,1000,10,512,100,5,29,252.7916667
4,10,2,1000000,10,0,1000,10,512,100,5,0,21651.38333
2,10,4,10,10,0,1,1000,1024,10000,2,29,5.633333333
4,10,2,10,1,0,1,1000,1024,10000,5,29,3.425
2,10,4,1000000,10,1,1,1000,512,10000,2,0,5.708333333
2,10,4,10,1,1,1,10,1024,100,2,29,1.466666667
4,1,2,1000000,1,0,1000,10,512,100,2,0,711.8083333
4,10,4,1000000,1,0,1000,1000,512,10000,2,29,753.5666667
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,10231.15
4,1,4,1000000,10,1,1,10,512,100,2,29,13.74166667
2,10,4,1000000,10,1,1000,1000,512,10000,2,0,11516.7
2,1,2,1000000,1,0,1000,1000,512,10000,5,0,379.775
4,10,2,1000000,1,0,1,10,512,100,5,29,2.958333333
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,2.75
4,1,4,1000000,1,0,1,10,512,100,5,0,2.725
2,1,4,1000000,1,0,1,1000,1024,10000,2,0,1.425
2,10,4,1000000,10,0,1,10,512,100,2,29,5.625
4,1,2,1000000,10,1,1,10,512,100,2,29,14.06666667
4,1,4,1000000,1,1,1,1000,512,10000,2,29,3.358333333
2,10,4,10,1,0,1000,1000,512,10000,5,29,298.5666667
4,1,4,1000000,10,1,1,1000,1024,10000,2,0,13.10833333
4,1,2,10,1,0,1,1000,512,10000,5,0,3.025
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,13.54166667
2,10,2,1000000,1,1,1000,10,512,100,5,0,257.7416667
4,10,4,10,1,0,1000,10,512,100,2,0,647.6916667
4,10,4,1000000,10,1,1,10,1024,100,2,29,13.30833333
4,10,2,10,10,1,1000,10,1024,100,2,0,28816.325
2,1,4,10,10,1,1000,10,1024,100,5,0,10843.53333
2,10,4,10,10,1,1000,10,512,100,2,0,12068.19167
2,1,4,10,1,1,1,1000,1024,10000,5,0,1.483333333
2,1,2,10,1,1,1,10,1024,100,5,29,1.375
2,1,4,10,10,1,1,1000,512,10000,2,0,5.8
2,10,4,10,1,1,1000,1000,512,10000,2,29,308.8333333
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,843.975
2,10,2,10,10,1,1,10,512,100,2,29,5.283333333
2,1,4,1000000,10,1,1000,10,1024,100,2,0,11468.975
2,1,4,10,10,0,1000,10,1024,100,5,29,9748.583333
2,1,2,10,1,1,1000,1000,512,10000,2,29,264.4333333
4,10,4,10,1,1,1000,10,512,100,2,0,999.325
4,1,4,1000000,10,0,1,10,1024,100,5,0,14.225
2,1,2,10,10,0,1,1000,1024,10000,2,0,5.341666667
2,10,2,10,1,0,1,10,512,100,5,29,1.45
4,10,2,1000000,10,1,1000,1000,512,10000,2,29,21275.39167
4,10,2,10,10,1,1000,10,1024,100,5,29,20308.38333
2,10,2,1000000,10,0,1000,1000,1024,10000,5,29,21379.04167
4,10,4,1000000,10,0,1000,1000,1024,10000,5,0,17233.39167
2,1,4,1000000,10,1,1,10,1024,100,2,29,5.425
4,10,2,1000000,1,0,1,10,1024,100,5,0,2.591666667
4,10,2,10,10,1,1000,1000,512,10000,2,29,23952.24167
4,1,2,1000000,10,0,1000,1000,512,10000,5,0,22917
2,1,2,10,1,0,1000,1000,1024,10000,5,0,279.75
4,1,4,1000000,10,1,1000,10,1024,100,2,0,20941.39167
4,10,2,1000000,1,0,1,10,1024,100,2,0,2.933333333
4,1,2,10,10,0,1000,10,1024,100,5,29,19226.11667
2,1,4,1000000,10,0,1000,10,512,100,2,29,12446.59167
2,1,2,10,1,0,1,1000,512,10000,2,29,1.541666667
2,10,4,1000000,1,1,1000,10,1024,100,5,0,267.3833333
2,10,4,10,10,0,1000,10,1024,100,2,0,10099.9
4,10,4,1000000,10,0,1,10,512,100,5,29,14.54166667
2,10,4,1000000,10,0,1000,1000,1024,10000,5,29,10157.21667
2,1,2,10,1,0,1000,1000,1024,10000,2,0,323.5166667
2,10,2,1000000,10,0,1000,10,512,100,5,29,18243.53333
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,22742.06667
4,10,2,10,1,1,1000,10,1024,100,5,29,917.4833333
2,1,2,10,1,1,1000,10,512,100,5,0,318.875
2,10,4,1000000,10,1,1000,10,512,100,2,29,8988.025
4,1,2,10,10,0,1000,10,512,100,5,0,22655.83333
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,3.083333333
2,10,4,10,1,0,1,1000,512,10000,5,0,1.508333333
2,1,2,10,10,0,1,10,1024,100,5,0,5.25
2,1,4,1000000,10,1,1,10,1024,100,5,0,6.041666667
2,1,2,1000000,1,1,1,1000,1024,10000,2,29,1.516666667
2,1,4,10,1,0,1000,1000,512,10000,5,0,259.7
2,10,2,10,1,0,1,10,1024,100,2,0,1.433333333
4,1,4,10,1,1,1,1000,1024,10000,5,0,3
2,10,4,10,1,1,1000,10,1024,100,5,0,259.275
4,10,4,1000000,10,0,1,10,1024,100,5,0,14.79166667
4,10,2,10,10,0,1,10,1024,100,2,0,14.69166667
2,1,2,1000000,1,1,1,10,1024,100,2,29,1.533333333
4,1,2,10,1,1,1000,1000,1024,10000,2,0,626.95
2,10,2,10,10,1,1,1000,512,10000,5,29,5.416666667
