time(s),total_slots,used_slots,workers,tasks,executors,transferred (messages),throughput (messages/s),throughput (MB/s),spout_throughput (MB/s),spout_executors,spout_transferred (messages),spout_acked (messages),spout_throughput (messages/s),spout_avg_complete_latency(ms),spout_max_complete_latency(ms)
10,4,2,2,24,24,5100,509,0.0,0.000,10,5100,5180,509,1.2,2.9
20,4,2,2,24,24,78620,7689,0.0,0.000,10,78620,82640,7689,1.5,1.5
30,4,2,2,24,24,77020,7680,0.0,0.000,10,77020,160440,7680,1.3,1.4
40,4,2,2,24,24,95380,9524,0.0,0.000,10,95380,254260,9524,1.2,1.3
50,4,2,2,24,24,93940,9374,0.0,0.000,10,93940,349460,9374,1.2,1.2
60,4,2,2,24,24,82280,8217,0.0,0.000,10,82280,431520,8217,1.2,1.2
70,4,2,2,24,24,95460,9532,0.0,0.000,10,95460,527660,9532,1.2,1.2
80,4,2,2,24,24,95840,9570,0.0,0.000,10,95840,623840,9570,1.1,1.2
90,4,2,2,24,24,82880,8261,0.0,0.000,10,82880,706320,8261,1.1,1.1
100,4,2,2,24,24,81460,8131,0.0,0.000,10,81460,788360,8131,1.1,1.1
110,4,2,2,24,24,110060,10991,0.0,0.000,10,110060,897940,10991,1.1,1.1
120,4,2,2,24,24,83180,8305,0.0,0.000,10,83180,980480,8305,1.1,1.1
130,4,2,2,24,24,81020,8093,0.0,0.000,10,81020,1062720,8093,1.1,1.1
140,4,2,2,24,24,109480,10928,0.0,0.000,10,109480,1173000,10928,1.1,1.1
150,4,2,2,24,24,81840,8167,0.0,0.000,10,81840,1255560,8167,1.1,1.1
160,4,2,2,24,24,82860,8274,0.0,0.000,10,82860,1338440,8274,1.1,1.1
170,4,2,2,24,24,109780,10964,0.0,0.000,10,109780,1448860,10964,1.1,1.1
180,4,2,2,24,24,83440,8333,0.0,0.000,10,83440,1531700,8333,1.1,1.1
